Username,CommentContent,Time,Location
kanyewest,ALL RED is the first Carti song on stream since 2020,9月13日 21:40  ,美国
frannnk.,UPSIDE-DOWN CROSS.ON THAT FACE SHUT EM UP,9月13日 22:12  ,重庆
范特西,封面是模仿范特西的红色元素吗,9月13日 16:25  ,未知
NutMilkEnjoyer,i prayed for days like these‍🩹,9月13日 12:22  ,美国
HAZY,答案是盆栽把卡蒂声线给整正常了,9月13日 18:23  ,湖南
Painisbeauti4,歌名是在暗示music会是whole lotta red后又一神作嘛🙌🙌,9月14日 22:31  ,江苏
柿子多多,一直在等future唱完，歌放完了carti也没出来,9月22日 23:56  ,湖北
所幸,来自future的玩少,00:50  ,湖南
Caesious Victim,插屏,9月29日 18:54  ,山东
阿尔乔姆,绝壁ft了future,9月28日 11:13  ,云南
+,未来小子,9月27日 12:55  ,广东
FRIVAL,嘶哑哑哑！,9月27日 09:45  ,广东
C4c7us J4ck,超速被抓的时候倒不装了哈,9月24日 22:40  ,北京
柿子多多,一直在等future唱完，歌放完了carti也没出来,9月22日 23:56  ,湖北
Ayo,All red蝉,9月22日 12:15  ,四川
JAKE,报听,9月21日 22:33  ,河南
IAN,爽,9月21日 22:14  ,重庆
Parzival,人类对carti声线的发掘度不足1%,9月21日 21:15  ,四川
7chill奶脆_,崔玹硕你有多爱啊,9月21日 20:36  ,陕西
frannnk.,万人血书all red,9月21日 17:53  ,重庆
秀,ass cheeks,9月20日 09:08  ,加拿大
白勺雨林,bud sound like future,9月19日 13:15  ,澳大利亚
红莲贰式,还以为是国王,9月19日 09:46  ,未知
Raindrop,爽,9月18日 23:43  ,广东
枷锁,🏳️,9月17日 15:37  ,广东
$ak33,感觉跟马嘉祺差点,9月17日 12:03  ,四川
𝙊𝟔 𝙂𝖚𝖈𝖈𝖎🤘🏿,Yooooo 2024 is Carti year🗣️🔥,9月17日 01:21  ,四川
La Flame,爽曲,9月16日 23:26  ,四川
frannnk.,F1LTHY的前奏就像是奏响来自地狱的猩红乐章,9月16日 18:50  ,重庆
Realblood,carti你真的玩大了，你这个玩少眼镜，再不发专辑我真得控制你了,9月16日 16:03  ,江西
泡泡,超棒的先行曲，但我觉得和@meh一样不放在专辑里,9月16日 08:14  ,贵州
777&999,我还在等future的verse结束呢,9月15日 20:55  ,广东
Satellite,future附体,9月15日 20:37  ,湖北
218CHANGER💜,开口好像国王，我以为只是没加署名,9月15日 19:08  ,江苏
ICKseriiye_,味太正了,9月15日 18:22  ,四川
Myleslay,i love this type shi,9月15日 14:45  ,未知
天之蕉♂子,要是能发语音我高低给你们整几句,9月15日 00:05  ,广东
Kanye West,Future你唱得差不多了也让Carti唱两句呗,9月15日 00:04  ,四川
嘻嘻嘻,豪庭,9月14日 23:14  ,湖南
Painisbeauti4,歌名是在暗示music会是whole lotta red后又一神作嘛🙌🙌,9月14日 22:31  ,江苏
BaebusGotcha 🅴,,9月14日 21:23  ,广东
Short n’Sweet,美区空降第一惹,9月14日 21:12  ,四川
suizzy1441,账户密码找回了,9月14日 19:25  ,广东
芒果,I AM BIT H,9月14日 17:17  ,内蒙古
抽烟喝酒磕药,听完了感觉都是future,9月14日 15:25  ,上海
百川大陆.,全红导致我的屏幕全白,9月14日 14:54  ,广西
近现代机械地系鞋带,吊,9月14日 14:34  ,北京
you,里,9月14日 14:31  ,河北
The son of mercy,还没发吗,9月14日 11:46  ,上海
The son of mercy,跟backrooms好像,9月14日 11:45  ,上海
kazeeee,New era,9月14日 11:24  ,中国澳门
Goldie,i am future,9月14日 09:42  ,未知
frannnk.,是和H00DBYAIR一样顶的（个人认为）,9月14日 06:29  ,重庆
AT-playboi🇵🇸,我还以为新专发了呢，给我吓一激灵,9月14日 06:16  ,辽宁
MegaMane@aoty,playboi future-carti 等于 playboi farti（放 p 玩少☠️）,9月14日 03:14  ,上海
把心交给希望,future,9月14日 01:57  ,加拿大
消化布朗克斯,肯定是超级颤音板Future,9月14日 00:41  ,四川
私は🍉❌🍎です,坏了来晚了，by我成跟风了,9月14日 00:02  ,山西
yourlovedhaerin,变声期到了,9月13日 23:45  ,四川
frannnk.,HBD Playboi Carti   i luv u,9月13日 23:18  ,重庆
frannnk.,感觉这首歌一年前就听过了（云）,9月13日 23:12  ,重庆
F1Lluv,不是carti的歌吗，怎么是future一直在唱,9月13日 22:54  ,重庆
frannnk.,UPSIDE-DOWN CROSS.ON THAT FACE SHUT EM UP,9月13日 22:12  ,重庆
frannnk.,我曰妈太爽了,9月13日 22:10  ,重庆
Playboi_顶针,这不是我们海贼王的红发海贼团吗玩少还抄上尾田了,9月13日 22:08  ,江西
杆干干,哇塞,9月13日 22:04  ,四川
frannnk.,专门请假就为这一口,9月13日 21:48  ,重庆
kanyewest,"@Playboi Carti Drop that sh1t N1GGA, WE NEED AN ALBUM",9月13日 21:43  ,美国
海峻,我嘞个骚刚,9月13日 21:40  ,黑龙江
kanyewest,ALL RED is the first Carti song on stream since 2020,9月13日 21:40  ,美国
海峻,牛逼,9月13日 21:39  ,黑龙江
猹叶,还以为点错歌了玩少被国王同化了是吗,9月13日 20:50  ,北京
DC the WINTER,future？？？,9月13日 20:42  ,广东
373737,有点像中专说唱皇帝,9月13日 20:28  ,四川
373737,放下我的铁面来听！,9月13日 20:25  ,四川
Playboiii.Advv.,仙乐,9月13日 19:36  ,北京
守护最好的capper,carti变声期到了,9月13日 19:01  ,广东
Hisso,单纯打个卡，粉丝不要来骂我，怕以后找不到了。崔玹硕 2024 年 9 月 13 日 wvs 推荐了,9月13日 18:39  ,湖北
Pablo,redddd,9月13日 18:35  ,甘肃
HAZY,答案是盆栽把卡蒂声线给整正常了,9月13日 18:23  ,湖南
Swaggy-P,Lil future,9月13日 17:55  ,甘肃
Lil Slim,成pluto了,9月13日 17:39  ,四川
半颗覆盆子冰淇淋球,终于来了！,9月13日 17:35  ,湖北
C4c7us J4ck,解锁新声音,9月13日 17:27  ,北京
雪泥鸿爪,这是future吧,9月13日 16:37  ,四川
范特西,封面是模仿范特西的红色元素吗,9月13日 16:25  ,未知
OA-🐱🐱,🦔,9月13日 16:24  ,山东
Dr,红温了,9月13日 16:17  ,湖北
Watkin$,future把我爹键位改了吗,9月13日 16:03  ,四川
Kanye West,真成玩mumble的Future了,9月13日 15:56  ,四川
SEE U,playfuture carti,9月13日 15:51  ,江西
P,NIGGA DROP THE ALBUM,9月13日 15:28  ,澳大利亚
激情的猪红,我去,9月13日 15:27  ,未知
,2024,9月13日 15:09  ,四川
demonsitstru_👿,痰王是你吗？,9月13日 15:08  ,广东
纭dazzle,baby pluto,9月13日 14:59  ,广西
霜华,太像了太像了,9月13日 14:58  ,山东
杨70,Wake up F1lthy！！,9月13日 14:30  ,云南
JT0☘️,全红那艺娜,9月13日 14:24  ,澳大利亚
Kkkkkk,这是先行曲吗谁来告诉我,9月13日 14:15  ,重庆
麻烦！,啪的一下点进来了啊,9月13日 14:14  ,广东
Fr3ak,真的像国王,9月13日 14:10  ,浙江
thebutterflyin,💋🧛🏻生日快乐,9月13日 14:08  ,江西
‭,你可算是发了一首,9月13日 14:05  ,河北
TuneLyrichi,Playture new type sh＊t,9月13日 13:52  ,北京
Travis Scott,用的Future预设是吧？,9月13日 13:52  ,河南
起疑心,国王异地登陆,9月13日 13:48  ,山东
stranger.,Dropped!!!!!!?!!!!!,9月13日 13:47  ,澳大利亚
SAINTYE1OU,Whole Lotta Red,9月13日 13:44  ,重庆
SAINTYE1OU,全红婵应援曲,9月13日 13:44  ,重庆
A$AP,逐渐future化,9月13日 13:43  ,江苏
A$AP,睡醒就听到新歌,9月13日 13:39  ,江苏
A$AP,啊啊啊啊啊啊,9月13日 13:38  ,江苏
双鱼恋修罗,痰王附体,9月13日 13:36  ,山西
KissVic,666,9月13日 13:35  ,河北
都安,ohh🔥,9月13日 13:32  ,江苏
~浅阳~~💤初心,pluto carti,9月13日 13:31  ,北京
Jordan Cartier👿,god,9月13日 13:28  ,河北
☻✘☻✘✘,I AM MUSIC waiting…,9月13日 13:25  ,河南
525600minutes,天命人学大圣残躯呗,9月13日 13:25  ,北京
Yeezus,wake up,9月13日 13:23  ,山东
jcooooole,Playboi Future🔥🔥,9月13日 13:18  ,陕西
Destr0yHatl3k,2025🥹,9月13日 13:18  ,云南
T-030🔥,爹,9月13日 13:15  ,四川
​,生日整首曲敷衍一下是吧,9月13日 13:14  ,贵州
+,2025 MUSIC！,9月13日 13:12  ,广东
Rhodes,卧槽,9月13日 13:10  ,上海
Tr4nc3_00,这咋还和油管音质不一样呢,9月13日 13:09  ,陕西
N30N,future,9月13日 13:09  ,北京
🌗,这不是future嘛？,9月13日 13:09  ,天津
Luv1sAvvful_💔,byd网抑云,9月13日 13:09  ,广西
lil bowen🤘🏾,King is really bacckkkk！！！！🧛🏾‍♀️🔥🔥🔥🔥🔥,9月13日 13:09  ,河北
PREACHER MAN,2024 MUSIC,9月13日 13:08  ,重庆
Jucreaphin,future 把 carti 夺舍了这是,9月13日 13:08  ,湖南
Blank Miller,move! carti! announcement! tonight!,9月13日 13:08  ,山东
脏,i am music今晚到底发不发,9月13日 13:07  ,湖南
qio,爽,9月13日 13:07  ,四川
电碾,来辣,9月13日 13:07  ,江苏
🌗,新专呢！,9月13日 13:07  ,天津
o_0,最早的一集,9月13日 13:07  ,浙江
Kkkkkk,新歌新歌,9月13日 13:07  ,重庆
Playboi_顶针,What! What !,9月13日 13:07  ,江西
Not4Rea1,生日快乐,9月13日 13:07  ,江苏
Jucreaphin,来了 cartiiiiii,9月13日 13:07  ,湖南
· Ye ·,boi,9月13日 13:07  ,山西
Wicky7,IAMMUSIC,9月13日 13:07  ,陕西
A1oo,schyeah,9月13日 13:07  ,北京
⁢D2X19VIBE,Young vamp life,9月13日 13:06  ,天津
F33l Lik3 Dy1n,Baby Pluto,9月13日 13:03  ,四川
Destrlonely,craz.,9月13日 13:03  ,四川
Aldae,2024 MUSIC！,9月13日 13:02  ,云南
M0J0 J0J0,yeahhhhhh,9月13日 12:59  ,重庆
N3v3rDie,我测,9月13日 12:59  ,河南
鹅,lil future carti type shxt,9月13日 12:55  ,广东
Bonnie,前排！,9月13日 12:48  ,加拿大
KDotfan,真不是future吗,9月13日 12:40  ,澳大利亚
NutMilkEnjoyer,i prayed for days like these‍🩹,9月13日 12:22  ,美国
朽木莲,future？,9月13日 12:19  ,北京
朽木莲,第一？,9月13日 12:17  ,北京
