Username,CommentContent,Time,Location
宝藏挖掘机！,我三舅天生恼瘫10年无药可治，直到我把这首歌在他床前放出来后他突然从床上一跃而起破窗而出飞檐走壁至今下落不明,8月6日 16:01  ,江苏
左岸香颂,@浪迹天涯 你爱的乡王的新歌呐，不得不说他唱作俱佳，而且听他的歌确实爽！,5月19日 13:16  ,上海
小琴,这首歌真是让我心神荡漾。它的流派是POP流行，但却有着平静徐缓的调子，让我感到宁静。歌词表达了对于困境的勇敢面对，不愿被束缚的态度。我能感受到歌手对于心灵的深刻矛盾，每一句都像是一次心灵的呐喊。封面中火车的形象，象征着离去和归来，像一股恐怖和神秘的气息，令人不禁加快心跳。这首歌真的让我找到了共鸣，仿佛看到了自己勇敢追逐梦想的影子。收藏这首歌的人一定都是懂得感受音乐真谛的人，和我一样喜欢用音乐表达自己的情感。,7月6日 11:23  ,广东
你会因没有去码头整点薯条而后悔,从Arizona唱到Oklahoma，欢迎来到Luke带你游阿美莉卡歌单,6月14日 11:58  ,山东
翅膀,一股荒野感油然而生,5月20日 09:55  ,浙江
翅膀,不愧是乡村音乐带师  一嗓子把我喊到了美国西部荒野见到了牛仔和乡村酒馆,7月12日 09:28  ,浙江
春树,damn,9月28日 22:43  ,山东
Guo Jia,乡王！！,9月24日 14:40  ,北京
Ryougi,gods country,9月20日 21:43  ,上海
jimjim,亚美利加刀郎,9月15日 17:22  ,北京
ø,你老公,9月12日 04:29  ,湖南
Simon,xiaohu加油,8月30日 11:45  ,山东
Justin°🐯,Best Vocal!!,8月27日 23:06  ,澳大利亚
石头星星,无论是街霸里的卢克，还是乡村音乐歌手卢克，都从来没有让我失望过,8月15日 21:23  ,江苏
方素文·卷柏,为什么mv还没上？人家辛辛苦苦拍的,8月7日 11:44  ,上海
宝藏挖掘机！,我三舅天生恼瘫10年无药可治，直到我把这首歌在他床前放出来后他突然从床上一跃而起破窗而出飞檐走壁至今下落不明,8月6日 16:01  ,江苏
宝藏挖掘机！,为什么这首歌制作组没有制作MV呢？,8月6日 14:40  ,江苏
理箐,近年来乡村摇滚少有的佳作，希望再接再厉，继续出佳作，虽然其本人已然佳作不断了。,8月2日 10:38  ,四川
.,好熟悉的乡村感，之前有个格莱美提名，背景调调差不多的,8月1日 16:04  ,湖北
糯米糍Knowmitz,你老公太会唱歌了,7月20日 23:50  ,甘肃
雾鱼乐,好听,7月19日 19:03  ,黑龙江
翅膀,不愧是乡村音乐带师  一嗓子把我喊到了美国西部荒野见到了牛仔和乡村酒馆,7月12日 09:28  ,浙江
小琴,这首歌真是让我心神荡漾。它的流派是POP流行，但却有着平静徐缓的调子，让我感到宁静。歌词表达了对于困境的勇敢面对，不愿被束缚的态度。我能感受到歌手对于心灵的深刻矛盾，每一句都像是一次心灵的呐喊。封面中火车的形象，象征着离去和归来，像一股恐怖和神秘的气息，令人不禁加快心跳。这首歌真的让我找到了共鸣，仿佛看到了自己勇敢追逐梦想的影子。收藏这首歌的人一定都是懂得感受音乐真谛的人，和我一样喜欢用音乐表达自己的情感。,7月6日 11:23  ,广东
你会因没有去码头整点薯条而后悔,从Arizona唱到Oklahoma，欢迎来到Luke带你游阿美莉卡歌单,6月14日 11:58  ,山东
panda,有点像熊脸的god'scounty,6月12日 21:52  ,安徽
陈宥融,像是借鉴了white horse和god's country,6月12日 15:04  ,辽宁
邓紫棋的菠萝包,老公唱功这么好,6月12日 11:47  ,陕西
PacPatri,luke combs万岁！,6月8日 08:52  ,新疆
银,好听！,5月20日 23:49  ,河南
翅膀,一股荒野感油然而生,5月20日 09:55  ,浙江
LiHua09,熟悉的味道啊,5月19日 19:51  ,辽宁
左岸香颂,@浪迹天涯 你爱的乡王的新歌呐，不得不说他唱作俱佳，而且听他的歌确实爽！,5月19日 13:16  ,上海
氢二氧一,新歌唉,5月18日 16:19  ,山东
Sean,HAOSHUANG!,5月18日 13:11  ,广东
Purpose,Luke Combs GOAT！！,5月18日 01:21  ,湖北
liver链霉菌,乡村摇滚哇梳子,5月17日 00:58  ,河南
QQ CODM.二指玩家,火了赞我,5月16日 20:11  ,安徽
