Username,CommentContent,Time,Location
若,#这一刻直接封神# 00:58 这首歌曲的旋律非常悦耳，让人忍不住一遍又一遍地听。,9月12日 17:32  ,广东
欧美报刊亭,专辑的前四首曲目就像一个飞升的过程，“神隐少女”跃进慢镜头的深海，《BIRDS OF A FEATHER》则是探出水面时呼入的第一口新鲜空气，无比自由的气息扑面而来。明亮舒展的旋律线条，一半忧郁一半明媚的歌词，共同筑构了一幅深蓝夜色与白日光晕交织的甜蜜梦境。,6月6日 10:22  ,广东
Xanny,已经很久没有听到过这么明亮悦耳的流行曲了,5月17日 09:01  ,四川
宽老师,“志趣相投”又是一首小甜歌，抒情部分好似身处暧昧期那种微妙而又奇异的气氛，与ta心灵间的摩擦碰撞💥，萦绕着甜美而羞涩的氛围。高潮部分像是进入了热恋期，发自肺腑呐喊“i love u till the day i die”，毫无保留的展示了我对你的爱。同时，这首歌也被收录进了电视剧《心跳漏一拍》第三季的插曲，，希望大家都能找到属于自己的ta👭👬,5月17日 10:01  ,未知
米苏ღ.,果然蚊子才是进入夏天最好的证明,5月17日 11:28  ,广东
Nemophilist,这首我真爱，我宣布全专最最最佳,5月17日 10:06  ,德国
宽老师,#碧梨巴黎奥运会闭幕式表演# 现在表演的是: 比莉·艾利什， 我们其实更熟悉她的另外一个名字: 碧梨,8月12日 06:34  ,广西
江暮,我说评论区的有些，不比较真的很难吗，天天蹭,5月17日 18:33  ,广东
超暴力小羊,全专基调是blue的，但是我听到是一个小女孩在洒满阳光的草坪上自由轻快地起舞，她不再蚊子叫了，接下来是属于她的炙热的夏天！,5月17日 10:01  ,湖北
米苏ღ.,🪶属于梨的小甜歌来啦💞这首歌作为大热英剧《心跳漏一拍》第三季的预告BGM，是梨生涯第一首完全自己独立作词作曲的作品（其他是和Finneas共同完成的），整首歌复古怀旧朗朗上口散发着属于青少年独有的烂漫青春气息，听了这首歌就赶快趁着这即将到来的夏日大声对自己喜欢的人喊出I love you吧[钟情],5月17日 09:30  ,广东
大人列車,这首我竟然听出了2005年前后中文歌的感觉 感觉找个华语女歌手改中文歌词来唱这首也毫不违和,5月17日 15:50  ,北京
米苏ღ.,Birds of a feather 全专最佳鸟儿可以在飞翔的时候拥抱吗？羽喙厮磨。这首就像一个心里很简单很纯粹的少女，爱着一个人，那么她爱的时候，无有什么杂念，只想着，不想和你说再见，不想让你走，只想着，我会爱你到死，你无论多麻烦缠身，我都违拗不了我的心，我就是喜欢。,5月17日 09:15  ,广东
Landy蓝迪,如果这都不能封神。那好像封神也没什么特别的,5月17日 10:28  ,广东
米苏ღ.,这次全专都是仙曲，我梨真的再度封神,5月17日 08:50  ,广东
你的甜味剂,放只猫咪让碧梨把脸埋进去／＞　　フ|  　_　 _ l／` ミ＿꒳ノ/　　　 　 |/　 ヽ　　 ﾉ│　　|　|　|／￣|　　 |　|　|| (￣ヽ＿_ヽ_)__)＼二つ,5月17日 10:41  ,陕西
扛起权志龙就跑,哭,12:27  ,四川
此生能否再见,虽然我不是碧梨的粉丝，但是我觉得这首应该是格莱美年度歌曲没错了。,06:29  ,未知
