Username,CommentContent,Time,Location
Benson Boone,"Hope you enjoy 'Beautiful Things' here on QQ Music, love ya!",2月26日 14:04  ,美国
Gloria桐,真的好听，就是QQ音乐好像没什么人有品味,4月3日 23:08  ,上海
🍐💩↺,天呐超级棒的一首，高潮部分太惊艳了,4月5日 01:29  ,湖南
先生很忙,国外的00后现在都崛起了，内娱的还在抄袭，翻唱，吃话筒的靡靡之音，毫无唱功，真实的被吊打。粉丝还在那里说别人只会标高音，彻底完蛋。,5月17日 17:49  ,重庆
lost in,为什么有人喜欢带粉籍说话？我已经经历过评论区被寒人霸满的灾难了🌛,4月13日 23:06  ,湖北
BMWKMNKGAN,the Chainsmokers的remix什么时候发,5月12日 00:01  ,浙江
欧美报刊亭,《Beautiful Things》是一首关于生命意义的颂歌，Benson在其中反思了对生活、爱情和幸福的感激之情。多层次的声音叠进、深情的歌词、以及力量澎湃的高潮很好地展现了一种最原始的情绪化。ps.目前在公告牌最高来到了第三高位！,2月23日 10:20  ,广东
李菲力,被韩知城安利过来的，太好听了，有品,2月19日 11:40  ,江西
iamfinethankyou,下午被宋雨琦安利了 神曲,2月17日 21:44  ,浙江
奥雷里亚诺·布恩迪亚上校,好喜欢中间那段高音,1月31日 22:04  ,重庆
湘宁,哈哈，听说这首是欧美小朋友的《孤勇者》，确实好听的，燃,3月14日 01:14  ,湖南
weirdCAT_Chan C,我找到了个我父母喜欢的女孩子感觉这是每个大家眼中好男孩的最终归宿,2月18日 20:13  ,江苏
小心阿想,二十一世纪英语报上看到的他，很喜欢这首歌,3月16日 10:31  ,广东
cinephile,今年billboard hot100前十竞争选手,2月12日 14:06  ,云南
Afxking,这首歌tik tok挺火的最近外网，那种转镜挺不错的，有条件可以去看看是歌手本作者拍的,3月4日 12:03  ,安徽
Respect2Me,BB的歌曲喜欢用高音去抒发情歌，从平缓突变到激进，牵动着听者的心,1月19日 09:26  ,安徽
Radiator Spring,终于来了！感染力真的很强啊,1月19日 17:15  ,四川
飞鸟鱼空,感觉火不起来的风格,1月21日 01:29  ,江苏
Poro,这首歌以诚挚的情感和对生活的深刻洞察，描绘了主人公从低谷走向平稳生活的心路历程。主人公在经历了艰难时光后，近期的生活有了显著改善，家庭和睦，恋人深受父母喜爱，这一切都让他感受到生活的美好。然而，他深知世事无常，深感害怕失去现有的一切，尤其是那位对他至关重要的女孩。歌曲表达了主人公对爱情、亲情及信仰的珍视与渴求，以及对失去这些“美丽事物”的深深恐惧。他祈求上天不要带走他的幸福，这种矛盾心理让人体会到他对生活的感激与不安交织的情绪状态。通过自我反省，主人公逐渐找回理智与信念，但对未来可能的变化仍抱有警惕，展现出人性中对美好事物执着不舍的一面。,2月9日 03:09  ,四川
冲,太好听了感觉是男版adele与梦龙乐队的结合,5月13日 13:06  ,广东
chadonlem,真好听啊又在b榜上发现了神仙曲￼,2月23日 01:53  ,江西
blueberry,好好好好好好好听，爆发力超强,00:33  ,江西
黄桃罐头,听这歌仿佛回到十年前了,9月28日 14:53  ,江苏
翼鸽YiGe,小哥超绝后空翻,9月19日 23:36  ,江西
风行,vma后空翻太亮眼,9月19日 19:03  ,未知
🤭,好听好听,9月16日 14:58  ,浙江
小眾/.,每周看b榜总能发现好歌的,9月16日 13:25  ,四川
Peninsula,@浪迹天涯 好听的，哥,9月16日 09:28  ,天津
_,之前看YouTube时有个广告就是这首歌，我以为是Adam lambert的歌哈哈哈，这小哥的高音和Adam好像,9月13日 20:38  ,上海
%qiii...,辛苦了🍞,9月13日 06:06  ,天津
ihaveabestpuppy,一起伴着窗外的倾盆大雨入睡吧🍞,9月13日 00:36  ,法国
izz,晚安🍞💤,9月13日 00:35  ,湖北
Justina🎀,晚安🍞,9月13日 00:34  ,广东
桃汁米线,晚安🍞,9月13日 00:34  ,北京
爱鸟小雾,金泳勋晚安,9月13日 00:33  ,陕西
Beverly,晚安🍞好好睡一觉吧,9月13日 00:33  ,湖北
苏月s.,晚安🍞,9月13日 00:32  ,四川
leejaehyunow,晚安🍞,9月13日 00:32  ,山东
TvTHEE,晚安🍞,9月13日 00:32  ,广东
他好漂亮-,晚安🍞,9月13日 00:31  ,湖南
树根,晚安🍞,9月13日 00:31  ,江苏
熏妻,🍞晚安🍀￼,9月13日 00:31  ,江苏
想念脸颊肉ㅜㅜ,🍞get✓,9月13日 00:31  ,广东
奋斗百天超前夫哥.ⴱ.,晚安🍞,9月13日 00:31  ,上海
Moonfog,晚安🍞好好休息,9月13日 00:30  ,重庆
더비,爱你,9月13日 00:30  ,韩国
贤在玹面包🍞,好好睡觉倒时差噢我们欧巴^_^,9月13日 00:30  ,河北
狂野战士(⊙o⊙),第一次在烟鬼佛山音乐节上听的，挺好听的，VMA也刚拿奖了666,9月12日 21:47  ,广东
夜。梵星,vma来的，现场和原版都很好听诶,9月12日 21:37  ,四川
里放,特别干净,9月7日 19:44  ,北京
只是花开的正艳，不入我心,呼~升华了,9月1日 00:26  ,海南
Aletaoni®,从B站抽象剪辑来的,8月29日 15:38  ,广西
⛵远洋去哪儿~,大口唱歌,8月28日 22:23  ,四川
