Username,CommentContent,Time,Location
欧美报刊亭,#世男一回归# 复古三部曲 最终章Hurry Up Tomorrow正式开启🔥,9月13日 12:03  ,广东
世漫一,我们围垦也是有自己的we can't be friends了,9月13日 12:00  ,广西
叫啥名字好呢,"Ariana Grande我知道你已经录好了这首歌的remix版本了,明天就发布好吗",9月13日 13:23  ,重庆
luvfiction,苹果也是好起来了 请盆栽拍mv了,9月13日 12:05  ,未知
世漫一,你们有没有想听的歌，我想播放一首the weeknd的新歌跳火盆 火中舞，哦周末啊我听过,9月13日 12:02  ,广西
K-,又一次听Dancing in the flames听哭了，这首歌真的太宏大磅礴了。它讲述的不是小爱，它歌颂的是大爱，是这个缺爱时代的洪流里，每个人的孤独缩影。人生来就注定了孤独的宿命，人来人往皆是过客，终究一个人来一个人离开。 就算是明白了人是生来注定孤独的宿命，但是我们依旧找寻爱。我们可以不相信爱，我们可以对这个时代失望失落，但是我们内心不能放弃爱，因为一直寻找就算一直失落，我相信这是前不见归途后已无来路的壮举，更是一首伟大的唐吉诃德史诗。,9月13日 12:00  ,广东
海角天涯,“我想听the weeknd的歌”“周末！”,9月13日 12:15  ,广东
李一笑,这个结尾是等着衔接下一首呢！？,9月13日 12:37  ,山西
鹤声,#世男一回归# 从小就听着这首歌长大，再听还是很感慨🏻,9月13日 12:08  ,黑龙江
Z sir,你们怎么知道我抢到盆栽哥悉尼演唱会的门票了？！求这首加入歌单谢谢！！！,9月13日 12:14  ,河北
5,等欧美凤凰传奇合体remix,9月13日 13:15  ,安徽
Wey,快快快出新专辑，这将是The weeknd最后一舞，而未来就交给Abel Tesfaye了,9月13日 12:40  ,福建
永恒日光♾️☀️,我盆自己的we cant be friends,9月13日 12:52  ,湖北
Treyvon,The Weeknd：你可以在夜晚的余晖中找到爱、恐惧、朋友、敌人、暴力、舞蹈、性、恶魔、天使、孤独和团聚……,9月13日 12:09  ,江苏
下雨夜,也是用上拍mv的同款了,9月14日 09:48  ,山西
给阿空买糖吃,#世男一回归#,09:35  ,河南
Ryoukionanii,Hello angel,05:11  ,广东
Colen,加油,9月29日 20:46  ,黑龙江
Jonathan-Neil,#世男一回归# 复古三部曲 最终章Hurry Up Tomorrow正式开启🔥,9月28日 20:24  ,上海
夏油 桀,越来越上头！,9月28日 20:22  ,吉林
7 Years,太顶了这首,9月28日 19:22  ,山东
半颗覆盆子冰淇淋球,恭喜火里舞空降本周公告牌第14位,9月28日 00:59  ,湖北
22.,盆终于发新专了we can’t be friends,9月28日 00:35  ,四川
一见朴彩误终生,#世男一回归#,9月28日 00:25  ,湖南
彬彬无礼,,9月27日 23:14  ,未知
长安,#这一刻直接封神#,9月27日 19:29  ,山西
Hannigram🍊,wcbf,9月27日 19:24  ,云南
汪小航,mv生动演绎开车不规范，亲人两行泪,9月26日 10:51  ,广东
董神,超有感觉,9月26日 10:33  ,未知
nnou-,已经用上了,9月26日 04:21  ,广东
车车要窒息啦,用iPhone 16 Pro拍摄，来力来力！,9月26日 00:01  ,云南
李俏,8.26号在拉斯维加斯差点就等到weeknd开演唱会了可惜开学了,9月25日 21:45  ,辽宁
𝘿𝙚𝙧𝙚𝙠,🥹超好听,9月25日 13:33  ,广西
My Evan,完了已经听顺耳了,9月25日 11:05  ,湖南
哭求盆栽发新专,B榜第一周才14啊,9月25日 00:41  ,山西
刈,Shot on iPhone 16pro ,9月24日 23:12  ,山西
董神,iPhone发布会来的，确实好听，下部手机也必然是iPhone,9月24日 22:48  ,江苏
.,I can’t be friends,9月24日 21:11  ,河北
whee_inthemood,好难受 we can’t be friends 到嘴边了,9月24日 18:52  ,四川
冷雨夜,救命  开头电音部分真的好好听,9月24日 10:32  ,云南
George Green,手持16pm听用16pm录制mv的歌,9月24日 01:37  ,四川
京都念慈庵,乘着没vip之前多听几遍,9月23日 23:40  ,江苏
把心交给希望,今天美榜全球榜都出前五十了，日流不到一百九十万,9月23日 23:38  ,加拿大
把心交给希望,没火今天二百三十万，糊穿地心咯，美榜已经连续两天没进前五十了,9月23日 11:14  ,加拿大
我是道闪电,一般般,9月23日 11:00  ,天津
万万岁,立秋了！好适合天冷的时候听,9月23日 07:34  ,广西
喜剧碰撞,是这个味!,9月22日 22:39  ,福建
Daisiest,#世男一回归# 笑死我了这什么词条,9月22日 22:24  ,上海
Daisiest,千万不要放过这个周末🙀💅🏻,9月22日 22:24  ,上海
୧⍤⃝📱,#世男一回归# 豪庭,9月22日 19:26  ,广东
D1p$et,火舞豪庭,9月22日 19:21  ,浙江
G⃪E⃪O⃪R⃪G⃪E⃪.,#世男一回归#,9月22日 19:16  ,北京
文艺复兴100🔝,期待和Taylor合作一首放在专辑里，一定要发可以购买的付费专辑。,9月22日 18:35  ,安徽
iroha,ture music,9月22日 14:20  ,山东
常子暄,蹲,9月22日 14:04  ,上海
ㅤ,啊 不是 Q音现在可以发表情了吗？,9月22日 13:16  ,湖北
