Username,CommentContent,Time,Location
欧美报刊亭,#天呐这就是艺术# A timeless ballad💗,8月16日 12:11  ,广东
马孟韬Toun,千万不要放过这两个身高加起来还没有获得过格莱美奖叠起来高的人,8月16日 12:27  ,贵州
世漫一,笑如死疑似未采用封面曝光：,8月16日 12:10  ,英国
21𝘩𝘰𝘶𝘳𝘴.,有请我们“一米五”组合推出新歌笑如死 水灵灵预订第67届格莱美最佳流组💅💅💅,8月16日 12:19  ,江西
惊山鸟,billboard你小心点了，格莱美你小心点了,8月16日 12:09  ,云南
就是爱音乐,秒了fortnight这是可以说的吗,8月16日 12:32  ,江苏
ㅤ,大美国嘎嘎的《笑如死》来了，回去和你爸爸妈妈一起唱，一定会大火、特火！,8月16日 12:17  ,广东
Treyvon,2009《So Happy I Could Die》2024《Die With A Smile》,8月16日 12:11  ,江苏
𝘾𝙃𝙄𝙉𝘼,除了伟大我给不出其他评价,8月16日 12:27  ,山东
Snooze,亲爱的展博：当看到这封信的时候，我已经在收听Lady Gaga的新单《die with a smile》了，请原谅我改签了航班，我知道，如果我看到你们，肯定就走不了了，因为我舍不得你们每个人尤其是你，展博，过去我不懂爱是什么？现在我知道了，爱是记得在8.16中午12点收听ladygaga的新歌《die with a smile》！！！,8月16日 12:10  ,湖北
草莓乐,又一次听diewithasmile听哭了…中间忘了后面有点痒了,8月16日 12:15  ,河南
幸运A,没有听过《含笑九泉》的人有难了,8月16日 12:26  ,广东
额,这首不是LG7的助推宣传预热，而是一首与新专辑完全反差的歌曲，嘎嘎在给大众最后的的准备时间，在震惊吓尿前来首芭乐抒情。LG7 完全是实验性的，Interscope 在听到演示时感到害怕震惊，因为她想要实验专辑，所以和火星合作的新单和LG7的整个概念是天差地别的。这首歌是给唱片公司的，也为了交代唱片公司高层特别出了这首歌。,8月16日 12:19  ,广东
林凯,感觉好几年都没听过这么好听的歌曲了￼,8月16日 13:26  ,广东
,又一次听Die With A Smile听哭了，这首歌真的太宏大磅礴了。它讲述的不是小爱，它歌颂的是大爱，是这个缺爱时代的洪流里，每个人的孤独缩影。人生来就注定了孤独的宿命，人来人往皆是过客，终究一个人来一个人离开。 就算是明白了人是生来注定孤独的宿命，但是我们依旧找寻爱。我们可以不相信爱，我们可以对这个时代失望失落，但是我们内心不能放弃爱，因为一直寻找就算一直失落，我相信这是前不见归途后已无来路的壮举，更是一首伟大的唐吉诃德史诗。,8月16日 12:12  ,广东
杳霭流玉,太伟大了,12:09  ,安徽
天高云淡,伟大！！太好听,11:59  ,安徽
Darkblue,笑死很有feel的哦,9月29日 22:37  ,四川
下心,笑死真好听,9月29日 19:48  ,广东
不熄,仙曲,9月29日 19:24  ,四川
Evermore.,最佳合作,9月29日 19:05  ,河南
思雨,没什么别的，就是单纯的很好听很感人,9月29日 18:56  ,北京
爱的物理学,好听。,9月29日 18:43  ,北京
Ｃarl.,如听仙乐耳暂明,9月29日 17:59  ,上海
Audréanne,好奇这首歌背后制作的故事,9月29日 17:24  ,北京
维维安,真素好听！素！,9月29日 12:25  ,未知
雪落谁国,俩人合出一张专辑吧,9月29日 08:37  ,河南
雪落谁国,嘎嘎啥时候让火星哥给写一张专辑,9月29日 08:35  ,河南
@MuNini,今年的格莱美又来了！！！！！,9月29日 08:18  ,山东
一  川,期待LG7,9月28日 20:08  ,吉林
Hy_unni,到死我也要听的一首歌,9月28日 18:38  ,广西
Leoeys,欢声笑语打gg,9月28日 15:26  ,海南
start anew,含笑九泉,9月28日 15:01  ,云南
Calendar,爵太难听了，回来听仙品,9月28日 13:48  ,广东
Silverblue,是一种真挚的感情的感受。艺术与人格紧紧相连。,9月28日 09:56  ,北京
Mr. daydream,呜呜呜,9月28日 03:32  ,山西
想见127,太好听了,9月27日 23:25  ,安徽
problem is Me！,绝绝子,9月27日 23:07  ,江苏
大大大侠,预定格莱美,9月27日 19:22  ,广东
话梅,和声绝了,9月27日 15:41  ,江苏
忘拉窗帘,2024最佳了,9月27日 13:47  ,广东
我,笑如死再见，我们有LG6.5了👋,9月27日 01:01  ,未知
不需道歉的玫瑰,笑发财了，新歌全在互联网听完了这边还要预约,9月26日 23:13  ,浙江
Lady Gaga,好喜欢啊，这大概是2024年最浪漫的歌了吧,9月26日 22:15  ,湖北
:-D,the joker is me,9月26日 21:25  ,四川
永恒的风,感觉大笑和大哭放在这里都不违和，浪漫直到浪漫尽头，生死直到无生死可言,9月26日 20:52  ,陕西
め,救命，好伟大啊,9月26日 16:19  ,广东
Summer Flynn,Nice,9月26日 16:14  ,天津
荔枝核,为什么我迟了一个月才听到这么伟大的作品。。。。太好听了对我耳朵太好了。。。,9月26日 16:09  ,江苏
咕噜咕噜,2024年9月26日,9月26日 02:52  ,甘肃
张运第🌈,救命好搭,9月26日 02:32  ,海南
周六吃可颂🥐,晚安,9月26日 00:44  ,江苏
.,好喜欢啊，这大概是2024年最浪漫的歌了吧,9月26日 00:44  ,湖北
🦄🎶🪸,好听死了，听了一个多月一点不腻,9月25日 23:43  ,广东
💤,2024年最佳抒情歌，明年格莱美没有给年度最佳，我和它拼了,9月25日 22:54  ,广东
渡鸦,感觉能听到下辈子......,9月25日 22:38  ,英国
NOBODY,,9月25日 21:45  ,重庆
太阳总在左边💫,绝了,9月25日 20:45  ,四川
pp.,刷到蔡有福唱这个歌 瞬间就被吸引了 就来打卡原唱 唱得都炒鸡好听,9月25日 20:24  ,湖北
┲.ЙccK-bad,新专辑马上来了,9月25日 18:38  ,广东
ぽかぽか,两个字形容：伟 大,9月25日 17:32  ,上海
ㅤㅤ,恭喜,9月25日 16:22  ,湖南
ecstatic,果然我噶with的都是仙曲,9月25日 14:04  ,四川
混不吝,Be美学🈶,9月25日 13:23  ,广西
momok,太伟大了……,9月25日 10:33  ,湖北
羊,有些歌手其实不用奖项证明自己,9月25日 09:34  ,辽宁
光.,完全没想到这两个人合作的歌是这么清爽的……仙曲,9月25日 07:49  ,广东
听三年孤寂,不要说身高了，我好像要被笑死了,9月25日 02:59  ,山东
Y,来了,9月25日 01:49  ,湖南
1212,坐等哈莉奎因,9月25日 01:30  ,河南
Terrence,听着笑着入睡啊这神仙组合！！浪漫死我算了,9月25日 01:14  ,上海
朵妈咪。,好像第一次评论,9月24日 23:08  ,新疆
A&W#I&C!!?,我死了，因为含笑九泉,9月24日 22:21  ,未知
行路难,This is true music.jpg,9月24日 21:57  ,云南
:-D,taylor＋gaga 会是舞曲还是乡村,9月24日 21:27  ,四川
NIGHTLIGHT,额滴神啊周五新专辑,9月24日 20:07  ,辽宁
七,好喜欢,9月24日 19:15  ,广东
那那吃,好,9月24日 16:26  ,重庆
Lady Gaga,期待老公6.5和老公7了,9月24日 14:57  ,湖北
xiaoxian,A段的贝斯好好听后段的鼓和贝斯打到与我心脏同频，就像在病床上听着自己咚咚的心跳，想着心爱的人,9月24日 10:07  ,未知
J.,奈斯,9月24日 01:21  ,重庆
Lamina🍃,笑如死了,9月24日 01:11  ,广西
ominnesmh✟,好听哇。。,9月23日 22:11  ,云南
Mamba,仙乐,9月23日 21:00  ,上海
JTL,能不能多点这样的歌啊，求求了！！！！！,9月23日 16:22  ,黑龙江
-,小丑二定档，妈呀啊啊啊啊啊啊啊啊啊啊,9月23日 14:54  ,广东
王睿,为什么现在外文歌曲的翻译全没了？,9月23日 09:49  ,北京
#너의 나비🦋,“我爱你”,9月23日 09:46  ,未知
希家小乖,今天的单曲循环,9月23日 01:48  ,福建
Wonw🍓,强强联手哇,9月23日 00:32  ,江苏
欧尼z羊,笑着死？,9月22日 20:47  ,福建
郑小喵,完全震撼到了太美了……,9月22日 17:59  ,上海
正灵均,“柯基恋”,9月22日 15:04  ,上海
薛⃣𝓍𝓊𝑒,…从来没听过这么惊艳的歌了，神曲,9月22日 13:42  ,广东
problem is Me！,不要放过这个嘎嘎,9月22日 13:04  ,江苏
佑(✪▽✪)池,格莱美预订了，这简直就是艺术,9月22日 09:03  ,贵州
爆笑涼麵快要變成小短腿,仙乐,9月22日 05:32  ,广东
饭特稀,一首秒了三十几首，怎么那么艺术,9月22日 05:25  ,广东
半颗覆盆子冰淇淋球,太牛了这首歌 反复聆听......,9月22日 01:51  ,湖北
麦穗儿,太好听了,9月21日 23:40  ,内蒙古
Jesse Yu,好喜欢gaga，永远爱你,9月21日 23:21  ,山东
煎鸡蛋的梦,格莱美你最好识相一点,9月21日 22:12  ,上海
左岸香颂,今日听曲最佳！为啥才听到呐，king和queen的组合，能量大大滴，曲风非常之火星哥曲子好听，词也写的好，此曲已加入我的百大安魂曲库@浪迹天涯 听新歌听新歌，and…smile,9月21日 22:04  ,上海
无法抑制之情是否唤作爱,听哭了,9月21日 20:54  ,河南
Yeahhhhhh,24年不能没有这首,9月21日 20:11  ,江苏
Yeahhhhhh,笑如死仙品,9月21日 20:01  ,江苏
皮皮瞎💎,仙曲,9月21日 19:07  ,河南
Lady Gaga,循环一个多月,9月21日 17:29  ,湖北
Lady Gaga,Lady Gaga l love you !,9月21日 17:23  ,湖北
7,冠了是吗,9月21日 16:05  ,湖南
eason,02:48,9月21日 14:37  ,未知
