Username,CommentContent,Time,Location
Sabrina Carpenter,My new single Espresso is out now on QQ music🤎,4月15日 15:31  ,北京
Lay U Down,#注入灵魂的欧美歌词# 好听,9月14日 11:12  ,广东
若,#这一刻直接封神# 01:06 好好听啊，歌手的声音超级喜欢💕,9月13日 14:26  ,广东
欧美报刊亭,我匠轻松又火了一首，科切拉效应续上‍🔥,4月15日 17:27  ,广东
gemini_moon,空降Spotify美区日榜第七位！恭喜宝宝🥹,4月13日 18:56  ,广东
ave,大家。。尾气和霉粉不是一种生物。。,5月5日 10:49  ,福建
fufuice,霉霉现在被黑的那么多都是你们招的，粉丝不要干预霉霉生活了，能不能理智一点啊，我也跟霉黑吵过，又能怎么样呢，你只是一个粉丝而已，别干预太多了,5月3日 23:26  ,河北
Rainbowland,上个星期还是妈妈是女儿，这个星期就成了三独艺人。,4月30日 19:37  ,河南
gemini_moon,Z世代流行公主萨布丽娜请你喝杯意式浓缩☕️,4月12日 19:20  ,广东
白苹果超人,评论区的神金你们到底在撕什么人家俩抱的好好的你们在这里演什么小丑,5月2日 18:18  ,广东
Taisny,复古风，听到微醺只差坐在夕阳下的沙滩椅上了单曲封面又美到了（一下子想到赫本的电影 甜姐儿）,4月12日 09:39  ,湖南
Tolerateit,果然每个欧美圈评论区无论是粉是黑，都离不开泰勒斯，直接改名欧霉圈吧。,6月10日 16:04  ,河南
雪人胖胖,在吵什么？两个人关系很好啊 巡演还请人家热场呢,6月24日 14:55  ,山东
Outlines,不好意思啊espresso已经登顶了 支持匠妹拷打…,4月30日 21:09  ,河北
TAYLOR,@𝕺𝖑𝖎𝖛𝖊𝖗 看不懂你的扑克脸，批皮黑赶紧,5月6日 21:11  ,福建
summer,又是say so风格的……近几年欧美圈都出来多少首跟say so一样风格的歌了,4月26日 15:11  ,河南
-,年度最爱,11:21  ,广东
Dxxfh,发现这首歌出的后一天就收藏了 匠妹又美美的火了@yonie,09:56  ,重庆
杏仁豆腐吸血鬼救命,国内怎么突然火了,07:17  ,江苏
ty,想请问一下Espresso好听/洗脑的点在哪里怎么没get到？（叠下甲 单纯友好讨论 没有任何先入为主的观念）,06:48  ,美国
☹️,🫣,04:45  ,美国
sollys,这么有蒸汽感吗？,03:42  ,广西
Lvnd,欧美citypop？！,01:26  ,澳大利亚
蚊娅一点儿好吗,这个夏天属于意式浓缩，好运宝贝和鸟羽，会一直记得的,00:35  ,河南
ae,我好想问抖音上那个百万转场 就是开头带喊麦（？）的版本是remix吗？在哪能听啊,9月29日 23:31  ,江苏
╰七维一体︶,路人看评论区一脸懵逼，怎么了？！哈哈哈，这歌很好听啊~,9月29日 22:12  ,吉林
阿尔法,还可以 上科切拉会崩吧,9月29日 22:07  ,黑龙江
Embers🔥,我这条评论火不火无所谓🫤就是到此一游,9月29日 22:05  ,四川
ヾ(✿ﾟ▽ﾟ)ノ,迟早笑死在这首歌的评论，前排是正主和粉丝正常夸夸，然后就看见最近磕疯的我产，甚至没人骂KY；再然后就是尾气不管和谁吵架，天妇罗都会狠狠吻上来；再往下氪泡也要来掺一楼，互骂又是另一个画风,9月29日 20:56  ,浙江
,厚汀,9月29日 20:56  ,广东
🌟🍧🍓🥦,怎么和抖音刷到的不一样,9月29日 18:32  ,辽宁
晚九朝五,我可以说匠妹比MM更好味吗,9月29日 15:02  ,湖南
𝑫𝒆𝒋𝒂 𝒗𝒖,妥妥的年度歌曲 没有比这首歌更配了,9月29日 14:35  ,山东
。,仙,9月29日 10:59  ,未知
Aneimission,太太太太好听～,9月29日 01:26  ,湖南
太累十万伏特😇👊,这种甜甜又迷人的嗓音到底是怎么唱的😿急需一只匠宝来教我,9月28日 22:50  ,江苏
丢丢鹅,𝐄𝐬𝐩𝐫𝐞𝐬𝐬𝐨,9月28日 22:16  ,中国香港
_sugaringcandy,不要变VIP呜呜好好听,9月28日 20:26  ,四川
︎ ᵕ᷄≀ ̠ᵕ,这也太好听了！！,9月28日 20:02  ,广东
H,lingorm,9月28日 14:39  ,广东
MagicMike,任天堂打钱,9月28日 10:17  ,山东
ME💋🌈,say i can't sleep baby you know,9月27日 23:20  ,河南
29,#夏日必听作品# 意式浓缩和三请可以听一辈子,9月27日 22:31  ,广东
sullyean,#夏日必听作品# 这个夏天属于sabrina！！！,9月27日 19:30  ,海南
小TC,好好听，orm推荐的很不错啊,9月27日 17:59  ,湖北
就是爱音乐,我,9月27日 17:34  ,湖南
没有发酵的酸奶,听这歌总想转圈是怎么回事,9月27日 14:21  ,重庆
🌻,听绝美匠三 做最美小三,9月27日 00:45  ,安徽
银,更需娅音,9月26日 22:28  ,广东
帅帅帅,小orm歌单,9月26日 17:05  ,内蒙古
XING,太好听了,9月26日 15:14  ,陕西
WeiiibooLovee,听了好几天了,9月26日 11:14  ,重庆
WeiiibooLovee,上头了,9月26日 11:14  ,重庆
滑翔翼滑翔翼,啊哈哈哈哈,9月26日 06:33  ,山东
reneex_xi,匠匠🫰🏻,9月26日 00:08  ,重庆
@ME！,下周预测单曲榜继续卡3，要卡5周3……目前想冠挺难的，但后劲应该不会差,9月25日 22:02  ,广东
