Username,CommentContent,Time,Location
GelaD,最佳新人不是罗恩就是匠妹,8月2日 22:41  ,广东
BCxochi,格莱美新人传承现场泄露,8月29日 23:56  ,福建
Inconsolable,这首歌一听就感觉好适合当学校晨跑或者做早操的背景音乐啊,7月5日 13:04  ,浙江
Manson,这首歌和唱法都很gwen stefani,6月16日 14:12  ,广东
霉霉姐的昆虫妹,比泰勒斯威夫特的me好听多了,8月18日 16:36  ,四川
Mocha,这歌国外挺火的吧。。。,2023年9月2日 12:39  ,山东
Senrile(⚡️🍓),歌风娅变异，画风嘎变异。好爱,8月6日 23:20  ,广东
hahay,刷到了和娅娅合唱的舞台，太嗨了,8月21日 19:25  ,辽宁
ooooo.,高宣娅言 h o t t o g o！！！,8月22日 18:31  ,四川
屹,额滴神啊这就是美国人自己的广播体操,8月10日 19:29  ,上海
啦,副歌有点厕……本来听前面感觉会很棒,7月20日 17:02  ,法国
火辣玫瑰王,火疯了救命大街小巷到处都在放都在唱…,9月18日 11:04  ,澳大利亚
julie,学校图书馆来的，真挺好听,04:47  ,美国
李李卡鲁,跳起来！,9月28日 08:15  ,湖南
五彩斑斓的平平🦄,好听,9月24日 12:16  ,上海
五彩斑斓的平平🦄,叛逆青春校园剧里XX学校的校歌的感觉,9月24日 12:16  ,上海
positions,spelling is funHOTTOGO,9月23日 14:02  ,陕西
nooranarana,不懂的有难了,9月22日 09:25  ,辽宁
y1ovo,不说别的歌 hot to go都可以听到男孩专辑同名单曲 的影子 当然不是说抄袭 只是那种感觉 插排接受采访时也说自己粉kp且深受她影响,9月21日 16:01  ,湖北
y1ovo,就这支单曲比较teen比较摇滚的曲风明明更像Katy perry首专男孩的风格的延续 没看出来像评论区所述的某个女星...,9月21日 15:57  ,湖北
凹洼挖蛙wā,1977ogo？,9月21日 12:21  ,加拿大
SQXCLZ,我的天在电台上听到的，然后就被种草了,9月19日 16:32  ,上海
火辣玫瑰王,火疯了救命大街小巷到处都在放都在唱…,9月18日 11:04  ,澳大利亚
有酒时放浪的客、,儿歌,9月18日 10:56  ,法国
犽犽戮山,前奏好好听啊啊啊啊,9月18日 09:42  ,四川
犽犽戮山,好喜欢前奏,9月18日 09:37  ,四川
张耀尹,挺好的,9月18日 08:16  ,四川
耔虤,有点ce,9月18日 03:02  ,广东
老虎屋子（芝士棒版）,HOT!TO!GO!,9月16日 13:48  ,河南
白茶,可以可以,9月16日 11:29  ,四川
白茶,OMG,9月16日 11:29  ,四川
可是我不用听圣诞星,又封神了姐,9月14日 17:56  ,广东
Shaun,更爱这首,9月13日 23:54  ,河南
林賽,有点小妞电影里的配乐的感觉诶,9月12日 14:20  ,未知
,现在入坑以后就是老粉了吧,9月11日 17:56  ,未知
贪吃蛇,otto！,9月11日 01:47  ,湖南
TheToys,通讯录战歌,9月10日 17:20  ,四川
偷电瓶的周某,我靠 太好听了！！！,9月10日 15:12  ,四川
l Love You、John,好听好听好听💫💫✨✨✨✨💥💥💥,9月9日 15:23  ,安徽
Noi_rx^n.🎧,艺术成这样,9月4日 00:03  ,河南
gossipnnnn,鼓点太像水果姐早期的歌了,9月2日 12:48  ,四川
罐装,狗熊爷爷,9月1日 23:26  ,北京
鸟羽,H❗️O❗️ T ❗️T ❗️O❗️ G ❗️O❗️YOU🫵CAN TAKE MEHOT TO GO🔥！,8月31日 21:08  ,河南
霉霉姐的昆虫妹,幼儿早教,8月31日 18:21  ,四川
Harden,喜欢,8月31日 13:15  ,未知
S...J.. Alex,普女的夏日春梦 握不住的青春酸涩,8月31日 06:31  ,四川
BCxochi,格莱美新人传承现场泄露,8月29日 23:56  ,福建
咚,跟好运宝贝好像,8月28日 14:42  ,重庆
Alter（已下海）,国内怎么没人听,8月28日 05:55  ,四川
ilomilo,怎么有点像猪猪侠主题曲（。💅,8月27日 23:57  ,上海
Lollipop,希望罗恩拿格莱美新人啦,8月27日 21:49  ,重庆
我要三分糖,没有好运宝贝好听,8月27日 02:21  ,湖南
Rey（放假ver.）,HOTTOGO！！！,8月26日 15:58  ,广东
gdgdgd,"1977,272!sing!",8月26日 02:57  ,美国
yookiil,H O T T O G O！,8月25日 22:39  ,福建
.,火了🔥,8月25日 16:28  ,山东
getachen,我们这个州可火了,8月25日 11:48  ,美国
futiledevice,嗨特购主题曲吗,8月24日 12:38  ,黑龙江
Panda,HOTTOGO~~,8月23日 17:04  ,福建
黑色的海,8月23 第一次get 工位打卡(好想跳舞💃),8月23日 10:26  ,广东
诺曼去他玛的洛克威尔,共享友谊,8月23日 07:46  ,广东
ooooo.,高宣娅言 h o t t o g o！！！,8月22日 18:31  ,四川
