Username,CommentContent,Time,Location
呱呱,#注入灵魂的欧美歌词# 深深沦陷,9月14日 12:16  ,重庆
肆无忌惮,有些同志就是下↓   喜欢捧一踩一,5月31日 13:12  ,广西
！！,马龙这是咋了，怎么突然资源爆棚?,5月10日 10:21  ,北京
lll_shh,Spotify全球top1 国内这数据...,5月13日 00:07  ,山西
NPTET,有以前欧美乐坛那味了,6月1日 17:09  ,黑龙江
aleks-ty,要不是马龙 你们会听morgan的歌吗,5月12日 22:32  ,重庆
Ryan™,b榜不进前10对不起了，这么炸裂的阵容,5月11日 22:43  ,广东
💚,实话实话感觉像十年前的歌，只能说音乐世界真的进入瓶颈期了,6月12日 20:14  ,江苏
样子,冠了这么多周的歌在Q音才200多评论挺讽刺的,7月5日 13:02  ,四川
敏敏子,太好听了！！！马龙永远不会让人失望,5月10日 10:52  ,云南
小琴,这首歌的流派是乡村音乐，让我感到很惊喜！作为一个独立个性的“小琴”，我喜欢突破刻板规矩，追求与众不同的事物。这首歌的歌词讲述了一段被背叛的爱情故事，让人感受到情感的挣扎和不甘。虽然歌曲欢快明快，但从歌词中能感受到对爱情的沉痛情感，非常有共鸣。作为一个喜欢音乐的学生，我会不断努力，用音乐来表达自己独特的声音和情感。这首歌有999+人收藏，看来我们都对这首歌的主题和情感非常有共鸣呢！感谢“Post Malone”和“Morgan Wallen”的演唱，他们的声音和演绎非常出色。由于这首歌的创作背景和主题与我个人很吻合，它会成为我校园生活中的座右铭，鼓励我做自己，追求自己的音乐梦想。🎵💫,5月25日 11:26  ,广东
唯君知,从某种意义上讲，龙宝这次也算回春了吧,6月1日 01:27  ,广西
♀Lin's~☆,好新好新的歌啊，预感会爆,5月11日 18:15  ,湖北
Wideee,早期预测点数，680点……什么概率,5月12日 02:16  ,湖北
月半且力🦋,前奏好听的歌一般整首都好听,8月30日 19:27  ,四川
嘟噜嘟噜嘿;-),chill,9月27日 20:34  ,山西
小宇,朋旧凋零尽，乾坤偶脱遗。食新心窃喜，话旧语多悲。泥醉醒常少，贪眠起独迟。闭门谁共处，枕藉乐天诗。✨♎✨,9月26日 23:32  ,河南
艾連,豪听,9月26日 17:50  ,浙江
Cinema,熟悉的味道,9月23日 13:33  ,四川
Scott,这首在村曲中算好听的了吧，旋律很好律动感也不错，但是b榜第一的那首我欣赏不来,9月18日 16:02  ,吉林
霜序初十,#这一刻直接封神#好听好听我的宝藏歌曲00:22,9月18日 13:17  ,广东
patdisco,好听的,9月17日 22:04  ,江苏
呱呱,#注入灵魂的欧美歌词# 深深沦陷,9月14日 12:16  ,重庆
哦？,超过Tyler了,9月14日 09:04  ,澳大利亚
Hami kt,叽母速度,9月10日 14:19  ,江苏
Kendrick,好久没有听马龙的歌了,9月9日 19:30  ,安徽
JessIEHH黄舒徽🌊,苍蝇不盯无缝的蛋,9月9日 15:56  ,上海
ShanyKing,妈呀这首歌纯粹的好听，是乡村音乐的风格,9月7日 22:27  ,辽宁
里放,喜欢伴奏呀！,9月7日 19:16  ,北京
郑大大.👽,前奏一响 牛仔帽和吉他就瞬移到我身上 但是后续很惊艳很不错啊 喜欢这种有些乡村又不完全乡村的风格,9月6日 10:09  ,广东
窈窕淑男,没有兴趣听第二遍的歌排在公告牌第二名就很奇怪,9月3日 21:57  ,黑龙江
叱咤月海鱼鱼猫,起飞,9月2日 22:31  ,浙江
别来贩剑,美国还是这么爱乡村,9月2日 11:33  ,江西
食御🅱ritney,01:21 01:23 每一秒都好听,9月1日 09:07  ,安徽
Lune,乡村包围城市，在榜乡村歌曲大爆发,8月31日 14:00  ,江西
月半且力🦋,前奏好听的歌一般整首都好听,8月30日 19:27  ,四川
Jafar.L,轻快愉悦的曲调，富有磁性的男音，很喜欢,8月30日 19:19  ,江西
green,喜欢马龙,8月29日 13:17  ,湖北
沐小星🌟,听歌就听歌，排名重要吗,8月29日 09:21  ,广东
喷完不看别人的回评,我的那些技巧，其实在美国早就出现过了，但是在中国，那些技巧还停留在十年前井喷的那一批人，音乐市场就像墨水会相互影响，有时保持自己的创作的纯粹，是,8月26日 20:23  ,湖南
Gigi.,这么火的歌 这么少人？我为马龙听100遍,8月22日 01:39  ,广东
一口一个奶黄包,就是这个味道，在十年前的欧美歌曲味道,8月22日 01:24  ,湖北
Claudia,龙宝🥹这…,8月22日 00:11  ,浙江
小眾/.,豪庭,8月21日 19:11  ,四川
extrusted,打卡,8月19日 21:11  ,河北
波兹·肖,一耳乡村音乐,8月18日 12:59  ,广东
lili,确实挺一般的，美国永远是这副德行，别忘了你们国家永远是这样别国喜欢你，国家也只是因为你国家而优秀的人，而并不是因为你这个国家优秀,8月17日 15:08  ,四川
班德尔城城主,这个歌明明这么火，为啥我感觉听着一般，是我欣赏不来吗,8月16日 16:24  ,江苏
德牧牌巧克力饼干,我真的不懂为啥这么多人这么不喜欢第一名那首!,8月15日 20:20  ,澳大利亚
——————,因为李马克来的,8月14日 10:43  ,湖北
r_e__m___,李马克爱听！！！,8月14日 00:55  ,山西
lezgobabay💙,来打卡,8月14日 00:52  ,河南
Raiders,好听！,8月12日 05:50  ,福建
Guo Jia,马龙嗓音回春啊，和morgan的声音相得益彰,8月11日 14:51  ,四川
Not_a_Fan,好喜欢这首又爱回了～,8月11日 00:57  ,江苏
Royalty.,我不是听乡村的料,8月8日 23:07  ,湖南
KMH,1,8月6日 22:56  ,山东
迷幻森林,诶 现在公告牌又好听了（探头探脑）,8月5日 20:26  ,四川
每天至少八杯水,他这转乡村风格，这转的幅度太大,8月5日 00:41  ,四川
东邪西毒,,8月4日 18:40  ,辽宁
东邪西毒,音乐这东西，开心时入耳，伤心时入心。这个世界上一切都是有限的，只有音乐是无限的…,8月4日 18:40  ,辽宁
LJB,美国人现在听的这么村么,8月4日 16:36  ,上海
骑水鸟买菜,好歌！听着节奏就想点头抖腿那种!,8月3日 09:29  ,河南
.,消音了这个。。,8月2日 21:30  ,山东
Eureka,音色变了呢怎么?,8月2日 15:15  ,天津
鳞綠🧪,⌯ᐢᗜᐢ⌯ಣ,8月1日 22:33  ,湖北
NoTag,听着有种回到初中那时候的感觉,8月1日 13:46  ,陕西
听就好了,马龙总得好连冠好几周，马龙用不好乐评吓哭苟。,8月1日 08:26  ,北京
小枭☻,谁听懂了,7月30日 08:42  ,江西
ooxconn1,好像mood,7月27日 09:16  ,四川
Lee,梦幻联动啊！！,7月24日 20:04  ,浙江
Max呆,美国版海来阿木,7月22日 12:56  ,山东
孑孓不独活,马龙你也进村了,7月21日 00:20  ,重庆
💦Shun-z💤,,7月19日 18:31  ,湖北
雨巷,今年乡村第一曲！,7月17日 22:34  ,重庆
🍀,爆,7月17日 16:22  ,四川
Ohcooc,真的好好听啊啊啊啊啊绝了,7月17日 00:48  ,上海
寧,泡泡玛特听到的,7月16日 22:33  ,山东
Pharaoh梦男,果然火了。,7月13日 21:28  ,上海
吴总,好听,7月10日 07:03  ,浙江
溯,永远在路上,7月8日 12:04  ,云南
史塔克,我就是因为摩根点进来的，这两年摩根很火的。实事求是的说这首歌广告牌能第一，主要是因为摩根而不是马龙,7月8日 08:56  ,山西
🤷🏻‍♀️,不是马龙 谁会听摩根呢hhh Hell i hate some help too！,7月7日 23:55  ,贵州
⠀,这到底是什么神曲啊 霸榜公告榜和油管榜,7月7日 14:14  ,云南
█,好听好听,7月7日 13:06  ,山东
影子爱人,6,7月7日 11:20  ,陕西
影子爱人,好听,7月7日 11:13  ,陕西
