Username,CommentContent,Time,Location
Tate McRae,ITS OK IM OK song and music vid OUT NOW! 💘 Everyone go listen and watch <333,9月13日 16:36  ,加拿大
欧美报刊亭,【活动时间】9月13日-9月20日【有奖活动】在评论区留下你听完《It's ok I'm ok》的感受，并在“我的歌手榜”里收听塔妹歌曲次数达到月榜30次以上。我们将选取两位内容优质的粉丝送出“Tate McRae官方周边”一份！,9月13日 18:06  ,广东
GUTS🅴,从首专我曾以为我会飞的青春期对情感敏感的小女孩再到think later的情场老手却又心思细腻的啦啦队队长到现在对前任彻底不在意的性感巨星，塔妹也在成长无论是编舞还是对舞曲的制作越来越成熟也很高兴她在二专找到自己的路线后一直走下去，塔妹就是未来的唱跳巨星！,9月13日 17:13  ,未知
unriseoonlight,一定要看MV，塔女王救命,9月13日 08:53  ,广东
GUTS🅴,Tate McRae新单《It's ok I'm ok》在全球Spotify排行榜上以362.6万次播放量空降第16位，这是她职业生涯中最高的单曲首日流媒成绩。看来贝塔们都很爱这首歌，小贝塔们集合啦,9月17日 13:59  ,未知
黑粉,一听就是hit曲的感觉 希望塔妹能延续greedy的人气,9月13日 21:44  ,安徽
DUmb,一直走唱跳路线吧 超声代未来,9月13日 09:14  ,广西
烂番茄,Kpop眼里拼接曲的样子,9月14日 21:56  ,广西
GUTS🅴,塔家军集合！贝塔们都在哪里？,9月13日 08:09  ,江苏
cxoxo·,小贝如塔们 支持支持塔木薯,9月13日 19:57  ,吉林
今天星期几,slay！走路上感觉自己是queen,9月14日 23:13  ,四川
felixzz,声线和Camila 很像 但是比Camila差点,9月14日 17:32  ,湖北
E.K.,塔女王👸🏻女王🆘没事💕🏻,9月13日 08:48  ,河北
Chloé,"自从T8在她的first sold out show in Madison Square Garden上首秀了It's om I'm ok的完整chreo后，我就天天盼着能听到完整的歌。这是和Ryan Tedder继Greedy后又一合作舞曲，beat is still sick! Gen Z歌手里我最看好T8, 现役Gen Z女歌手里没有人能跳得像她这么好！ You go, girl!!!!",9月13日 22:16  ,山东
chaotic,这次的鼓点好有意思，唱得明显比以前自信了不少，永远支持塔子,9月16日 21:43  ,四川
Dero,感觉塔妹这首要爆，前排留名,9月14日 17:51  ,广东
k,good,12:38  ,上海
墨尘、羽落,美版第四直逼女版女比伯。,09:14  ,江苏
Olivia,这个副歌听着就好想跳舞,00:15  ,上海
超 平和バスターズ,超好听的啊,9月28日 22:49  ,广东
/,前奏绝了,9月28日 17:19  ,四川
MARRY THE NIGHT,太好听噜,9月28日 16:53  ,上海
Sexy Cool crazy,布兰妮之后唱跳女歌手出现了青黄不接的现象，塔妹让我看到了希望,9月28日 14:11  ,重庆
Vanessa小婊贝,过不了多久这首歌会席卷全球各大舞室🏻,9月28日 12:28  ,重庆
金玟庭,粉丝的名就叫小贝塔吗,9月28日 10:59  ,河北
锋,天,9月28日 10:19  ,广东
崽崽不够冷,听一宿,9月28日 05:25  ,未知
Unna╯,,9月28日 04:17  ,湖北
Unna╯,,9月28日 04:17  ,湖北
🚂托马斯小火车,这姐真的美绝了…,9月28日 03:58  ,广东
Starlight,太好听,9月28日 02:23  ,上海
‭,( ˘ ³˘)爱了,9月28日 02:11  ,河南
大金鎚,塔姐立马起飞！,9月27日 23:56  ,日本
时桉,啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,9月27日 23:40  ,湖南
只识半我,怎么不上MV,9月27日 20:12  ,上海
顺顺利利健健康康开开心心,哇塞 终于发布了啊啊啊啊啊啊 太好听了,9月27日 16:47  ,北京
👽🤖👽,各种编舞又有的看了,9月27日 15:01  ,浙江
编写不出童话,MV超级好看,9月26日 20:45  ,广东
m,有没有编舞师编一下,9月26日 20:04  ,上海
一块炸鸡都吃不到,太好听了,9月26日 17:26  ,浙江
🎹封尘®,因为MV来的,9月26日 13:14  ,四川
