Username,CommentContent,Time,Location
愤怒的黑芝麻丶,刚在视频号看了一个小哥儿在商场弹钢琴，遇到Teddy进来，然后激情演唱！太棒的音乐家了！！！,5月6日 16:33  ,北京
🌙,在bili看到一钢琴家小哥在商场弹lose control，然后贼巧的是原唱走进来了。遂来搜这首歌，望周知！不知道MV拍的什么样，但是未来每一次听我脑子里会浮现他们在商场爽唱合鸣的场景！！,5月7日 10:39  ,黑龙江
TheToys,迪玛希你好好合音就好，让莫莫进第二轮,7月25日 11:13  ,四川
🏈TE ZHAO,迪玛希和香提莫都很适合这首哎，大事很妙，这段时间香提莫被芒果台磨平了不少，高音明显越来越疲惫了，但是这场完全不担心迪玛希的高音区，总之大事很妙，期待炸翻全场,7月25日 13:43  ,浙江
王×墨迹,香缇莫和迪玛希可以凭借这场同时坐上歌王的宝座,7月27日 03:09  ,北京
欧美报刊亭,本期“欧美报刊亭”独家现场嘉宾：亚特兰大当红音乐人Teddy Swims🎸他带来个人首支公告牌冠单《Lose Control》的演唱，现场乐手演奏和舞美布景完全是一比一的演唱会Live体验！这首歌讲述了当爱情开始分崩离析时的失控状态，Teddy富有感染力的灵魂嗓音蕴含着独特的情感投射。扫描下方二维码即可跳转Live现场👇,6月26日 17:02  ,广东
苏菀玉,真的是救命，我已经很久没听到这种细糠了！Teddy Swims的声音一开口，就知道这首歌稳了，其实以前听的比较多的像是B.B. King、John Lee Hooker和Buddy Guy等等。这首歌在Blues的基础上其实也加了很多编曲上的巧思，旋律深沉悠扬，加上歌手磁性的嗓音和多处巧妙丝滑的转音，简直不能用完美形容！话就放这了，现在立刻马上，把它添加进你的收藏好吗！btw，我听这首歌的时候，仿佛让我回到当年看人鬼情未了的场景，真的挺神奇的。所以说一首歌，成功之处除了歌曲本身和歌手的演绎，也能够激发潜在的记忆场景与故事联想。我也是个小小音乐人，希望有一天我也可以写出这么牛逼哄哄的歌！加油吧！,3月18日 10:52  ,广东
欧美报刊亭,Teddy Swims：“恋爱有时就像上瘾一样，总是从低谷中追逐高潮。当一切开始崩溃时，你会失去自我，失去控制，认为唯一的出路就是重蹈覆辙。”,2月1日 14:18  ,广东
Nick,通知我一次就回来听一次,2023年10月30日 13:00  ,广东
Deja Vu,好适合做香水广告的bgm啊哈哈哈,2023年11月9日 23:21  ,重庆
