Username,CommentContent,Time,Location
trakara,原来全损音质也可以high上天,5月26日 23:47  ,广东
羽毛球,是我的耳朵有问题还是耳机有问题还是歌有问题,5月19日 10:52  ,浙江
3tCrum,我那一千多的耳机压根儿配不上这首歌,5月25日 00:33  ,湖南
Amandaaaaa,为什么公告牌上榜的是这个全损版本,6月17日 22:12  ,北京
hp,火钳刘明，听这首歌扣了我12分,5月18日 05:41  ,广东
Justice°,问下大佬们这个（VHS）代表什么意思？,5月21日 10:10  ,河北
M,碰上鸭喇大战加上霉霉黑白双专 真的点背啊兄弟,5月24日 18:03  ,广东
Topanga,再三确认音质选择为臻品母带,5月30日 14:58  ,未知
川渝王,加拿大这首歌已经过年火上天了,6月3日 13:05  ,重庆
22savage,来个大佬说下这是孟菲斯嘛,5月16日 23:32  ,浙江
Nūñez,所以说这个是音质越好音质越差是吧，拿臻品母带还原最差音质,7月3日 22:42  ,哈萨克斯坦
多多少少会暴富,你永远不知道一个带着眼镜上班的斯文公务员耳机里面听的是什么,7月20日 20:50  ,广西
SN,我以为耳机坏了……,9月29日 14:42  ,广东
奇奇挂挂,逆天了,9月28日 16:19  ,浙江
書?,听着听着 桌子上的卷子突然就变成了支票,9月22日 11:19  ,湖南
东京下雨夜,啊杜,9月21日 22:13  ,上海
昹,吓我一跳,9月18日 21:30  ,广东
不要再给我推抖音曲了 拜托,第一次听的时候真的被它全损音质劝退了，第二次听的时候觉得就是这种感觉，越听越有味道！,9月17日 21:51  ,广东
星际水手,哥哥姐姐们我的麦很炸吗🕷️👄🕷️,9月11日 14:36  ,广东
Depp,我的air pods pro二代 已经炸了家人们,9月9日 08:50  ,陕西
里放,就这样特意的,9月7日 19:33  ,北京
牛奶将军,“我的麦很炸吗”,9月5日 10:21  ,上海
N,我还以为是耳机有毛病了，直到我看到了评论,9月3日 13:38  ,广东
Miffy婕,稍微单曲循环忆会会,9月2日 11:14  ,安徽
看玉兔捣药🌕💫,我还以为耳机坏了,9月1日 18:46  ,甘肃
丁真今天抽什么,我的麦很炸吗,8月31日 22:43  ,辽宁
Almost home,开到最高至臻音质也没用，还是用Spotify听吧，简直了,8月31日 06:36  ,德国
k0313.,耳机党阵亡,8月30日 20:29  ,广东
皓然ᴘɪɴᴏ🐼,直接拉黑这首歌,8月29日 16:51  ,广东
光光馅饼,我的麦很炸吗,8月28日 16:31  ,上海
Tino,kkkk,8月28日 09:13  ,山东
白美人Fanny,在,8月26日 23:00  ,广东
困困虫,我手里刚摔了一下  这摔坏完了,8月23日 18:21  ,江苏
Jay,豪庭,8月23日 01:06  ,浙江
:-O,全损音质真是伤耳朵啊,8月22日 16:46  ,广东
m,我还以为是我耳机坏了,8月22日 15:58  ,上海
cow_sheep,什么鬼。。,8月21日 23:22  ,北京
GROSS,感觉听完听力下降了…,8月18日 21:29  ,北京
486,爽,8月18日 20:31  ,广西
aliens,high,8月18日 15:57  ,河南
kurokuro,卧槽我还以为是我耳机出问题了,8月17日 13:38  ,广西
wloeksley,我还以为我手机坏了。,8月15日 20:21  ,江西
刘东毅,炸了,8月15日 11:34  ,湖南
🦋amo,Brazilian funk?!,8月13日 21:48  ,北京
潮潮潮潮傻,因为奎八而听,8月13日 11:00  ,山东
[爱心]Amour,为啥这个得劲点的,8月12日 19:46  ,湖南
刘文我好饿_,炸哈哈哈哈,8月12日 14:14  ,新疆
高,裂音也可以🉑,8月9日 11:07  ,北京
陈住气,好,8月9日 08:03  ,湖南
Oo0,以为是小损结果是全损  我的耳机阵亡了,8月4日 01:09  ,广西
Jessie,差点就怀疑自己的耳机了…,8月2日 17:45  ,未知
嗯嗯,电的我妈都不认识我了,8月2日 14:29  ,浙江
373737,麦太炸了,8月2日 02:01  ,四川
373737,耳机废了,8月2日 02:01  ,四川
麦麦麦麦麦旋风子啊,哈哈,7月30日 22:13  ,黑龙江
🛳EMC🇨🇳Susan欧美加庄,刚买的耳传道耳机不行 这是要退不退,7月29日 15:14  ,广东
Mia,淦，这这简直了啊哈哈哈哈哈损得很啊！,7月28日 17:39  ,广东
yoyo,,7月28日 13:51  ,上海
caucasus,摩根在巴黎,7月25日 07:18  ,安徽
tlwfml,全损音质,7月25日 02:11  ,陕西
Monee,隔壁有个无损版的，豪庭,7月25日 00:51  ,广东
ACE-JHLION,战损音质爱死了，现在其它歌我都听不进去了,7月24日 18:32  ,四川
WWW,我的麦真的很炸吗,7月24日 17:11  ,广东
卡卡罗特,耳机测试歌,7月24日 13:49  ,广东
ㅤㅤㅤㅤㅤㅤㅤㅤ萤火,全损歪日，耳朵炸了，这个东西怎么上榜的,7月24日 11:55  ,广东
就是爱音乐,耳机党 已阵亡,7月24日 11:49  ,江西
ACE-JHLION,太爽了听起来,7月24日 05:00  ,四川
LOEYCOMEBACK,我的麦很炸么,7月23日 13:14  ,广东
Bello!,听得头晕,7月22日 22:32  ,江苏
Echo,爽。,7月21日 00:11  ,山东
Lia,耳机党福音,7月20日 23:34  ,广西
多多少少会暴富,你永远不知道一个带着眼镜上班的斯文公务员耳机里面听的是什么,7月20日 20:50  ,广西
不将就^ - ^,最爱的一首,7月19日 00:00  ,广东
以酸为乐🍋-INFP,,7月16日 08:24  ,湖北
.,我世界第一帅,7月15日 23:40  ,福建
404 not found,被全损音质硬控两分半,7月15日 16:33  ,重庆
半截诗,爽死了，朋友圈b哥都不知道这歌,7月14日 18:47  ,黑龙江
wild,耳朵要出血了,7月13日 06:12  ,浙江
♡←♂♂→♡,席卷了我整个夏日,7月12日 09:25  ,湖南
Cogito,豪庭,7月11日 07:13  ,四川
your NAME?,OKOK,7月10日 13:32  ,福建
