Username,CommentContent,Time,Location
Marshmello,MILES ON IT OUT NOW ON QQ MUSIC 🖤,5月6日 18:56  ,美国
LOTT,你们怎么知道我去看了老棉,5月4日 14:23  ,贵州
Do you mean,让我康康谁熬夜听棉花糖,5月3日 00:05  ,湖北
Martinez,我就说老棉还是有实力的吧 已经上头了,5月3日 01:23  ,安徽
Afxking,时隔两年了总算有听着有点带劲的了,5月3日 00:11  ,浙江
sherl0CK,爷青回，one thing right老哥和老棉联手,5月3日 00:36  ,北京
WwW,我的天，比以前好太多了吧,5月3日 23:02  ,四川
Lucy,好听好听好好听(●.●)🎵,5月3日 01:15  ,安徽
墨（明天也要美好）,怎么说呢，老棉轻快活泼的电音和kane清新的嗓音完美融合在了一起，有种雨后阳光直射双眼的感觉！,5月7日 23:39  ,江苏
Wake,还得是棉花糖，爱了，爱了，这该死节奏让我停止不了，,5月6日 02:03  ,上海
仙尘,从抖音老棉坐出租听到这首歌的视频那过来的,9月11日 16:36  ,山东
Prun$2/1,屌的,9月29日 08:53  ,海南
13month,他的嗓音太适合乡村流行了，又一次和棉花糖合作,9月28日 14:06  ,江苏
will.,好听不火是吧,9月18日 13:48  ,四川
いつか,别太晚听，不然睡不着,9月13日 01:16  ,云南
仙尘,从抖音老棉坐出租听到这首歌的视频那过来的,9月11日 16:36  ,山东
杨东京,之前5月份听了之后就没怎么听了，昨天老棉在抖音发的一个关于这首歌的视频让我又找回来了,9月5日 10:18  ,湖北
阿荣,啊啊啊一见钟情！！miles on it！启动！！！,9月4日 18:35  ,江苏
SJC,这么好听的歌，为什么没有人听,9月1日 16:19  ,浙江
Airry,英文歌都听起来比较带感咧,8月27日 10:40  ,湖北
ᥫᩣ,开学了只能听点快乐的音乐 暂时麻痹一下自己的大脑,8月26日 22:07  ,黑龙江
与浩,在韩国便利店里听到的,8月23日 20:26  ,浙江
Gigi.,老棉新歌明明很好听啊,8月23日 02:23  ,广东
宇宙星际魔法幸运包,,8月20日 00:07  ,广东
,269,8月14日 00:12  ,广东
LLLLeo,8月第一期BillBoard第二十，老棉真顶！,8月12日 15:19  ,浙江
Loki病态 ⩘⩗,拿到了驾照，但还没有自己的车，有自己车了我一定要放这歌！,8月9日 11:47  ,浙江
云也⁣  ⁡,终于....你懂我意思吧,7月31日 03:12  ,湖北
熹仔,好,7月29日 17:28  ,上海
maw,村里通电了,7月17日 23:23  ,湖南
北京悦新传媒,,7月17日 17:55  ,河北
*ʚ羽ɞ*,开上车 带上小伙伴 一起去旅行叭🚗ﾉ🍤🍗🥂,7月15日 11:43  ,海南
liver链霉菌,Billboard少见电音啊,7月13日 13:13  ,河南
wangyu56918,@浪迹天涯,7月11日 23:21  ,安徽
与你,1,7月9日 20:18  ,安徽
Flechazz,这歌火了叫我,7月9日 10:16  ,河南
