Username,CommentContent,Time,Location
Jasmine,jade的solo旋律显更复杂 更多样化 配上独特的嗓音 听感独一份的好 MV能看出来表达的精神世界更多样化 在不断重塑自己的个人风格 反正是有点打破我在little mix时期对玉玉子的看法了,7月20日 10:27  ,四川
川,国际流行的趋势,9月29日 23:36  ,四川
Z,动感101！！！芜湖,9月24日 09:14  ,未知
冯懿君,有谁懂那句假声突然转变成嗓音的快感啊救命,9月18日 04:58  ,四川
Derek,大声听音乐，动感101,9月17日 08:42  ,江苏
杨帆,好听，真是一个有趣的旋律。多次重复的部分，有不同的情绪感应，每次的听觉感受都不一样,9月16日 23:42  ,四川
谢谢灵文真君保,开口跪啊啊啊,9月8日 13:24  ,重庆
一🚀钟情⁸⁰⁵ ❤️SAST,fm 87.9,9月3日 12:41  ,上海
是小比吖,好听,8月24日 15:29  ,广东
GypsyHeart,采样比近期其他的不要好太多！好爱♥♥,8月23日 01:07  ,广西
风行,好听哭,8月21日 20:14  ,四川
Jasmine,（搬运）jade说 这首歌探讨了她和整个音乐艺术产业的关系 爱恨交织 mv尤其体现这种她与整个industry复杂的情感（MV确实理解有点费劲 b站有没有解说啊）,8月18日 00:03  ,陕西
Jasmine,一个月以来的心头好。听了一个月了回来再评论，一首歌四种风格，老姐，这是我听过最颠的歌，和我的精神状态完美契合​。不愧是Jade,8月18日 00:01  ,陕西
狼心微澜,A.O.M.D,8月16日 20:27  ,陕西
Roro_,吗耶好好听,8月15日 01:53  ,河南
月和纪,好听，这下就剩下裴瑞了！期待，最爱杰德和裴瑞,8月14日 01:06  ,四川
Zzly,jade终于solo了啊啊啊期待了好久,8月9日 09:27  ,广东
🍟🍔,好爱,8月6日 02:09  ,福建
西城‼️,膜拜流行女帝布兰妮，这首歌的灵感源于《everytime》,8月4日 18:43  ,上海
Scarlet,好多元又不吵的超好听的作品！,8月3日 20:53  ,四川
奥地利的唐璜,好听死了,8月2日 22:16  ,未知
nah🖖,真的很上头！！！！,8月2日 03:01  ,广东
这次是你错了,4个人里面最喜欢的,8月1日 21:49  ,湖北
Roman XCX,Little Mix最好的solo,8月1日 13:16  ,加拿大
y,好听,7月30日 23:52  ,河南
▿,仙品,7月29日 11:05  ,四川
nah🖖,真的很洗脑！,7月25日 13:47  ,广东
小薏🫘,好听,7月25日 08:17  ,上海
Mitchelle丶H,好听死！开头和副歌那句Angel of my dreams总感觉好耳熟，跟哪首歌很像一直想不起来，有人有这种感觉吗,7月23日 21:24  ,广东
Kirill💧Sam,wow. And the video is so cool. It's like Chartli XCX and Rima Sawayama mix. I love it,7月23日 15:02  ,陕西
ʚ passerby ɞ,标记  ️,7月23日 14:43  ,浙江
愤怒的小尼奥-浩歌.mp3,Y,7月21日 15:17  ,四川
Dennis Jauch,值得全球大火,7月21日 09:44  ,上海
🌚,好听死了,7月21日 00:29  ,英国
➗,好艺术！,7月21日 00:06  ,广东
ㅤ,最惊喜的solo！,7月20日 20:14  ,美国
illusion,终于等来jade的了！,7月20日 12:53  ,海南
Jasmine,jade的solo旋律显更复杂 更多样化 配上独特的嗓音 听感独一份的好 MV能看出来表达的精神世界更多样化 在不断重塑自己的个人风格 反正是有点打破我在little mix时期对玉玉子的看法了,7月20日 10:27  ,四川
WooZiLoh,等来solo了！！,7月19日 22:23  ,新西兰
浮慕生_Flyer,终于等到了Jade,7月19日 19:58  ,四川
ANKH,终于！这首好棒,7月19日 10:57  ,湖北
臨水照花人,终于,7月19日 08:20  ,山西
nah🖖,终于来了,7月19日 03:17  ,安徽
Mixer,JADE终于来啦,7月19日 00:32  ,吉林
