Username,CommentContent,Time,Location
欧美报刊亭,苹果在传统上象征着知识和诱惑，洗茶通过这一隐喻深入探索与剖析个人与原生家庭的关系。却发现这个问题根深蒂固，代代遗传。这首歌从而触及了想要逃离过往阴影、渴望被理解、追求自我认同等主题。《Apple》近日在短视频平台走红，有望成为今年又一支夏日热单。,7月24日 16:15  ,广东
黍离别离,#查理小程序给粉丝免费发放苹果手机,6月7日 00:35  ,江西
Zackary,库克听了都要列入iPhone 16 BGM,6月8日 12:02  ,江西
HOURS.,I guess the apple doesn't fall far from the tree 这是她写到的 关于亲子关系的阻抗,6月7日 02:54  ,新疆
瓜锤,按顺序听 这前奏我以为小苹果结果点开是小程序版的小苹果 真是服了,6月11日 15:49  ,福建
doin time,伴奏也有点像那个小苹果,6月8日 16:04  ,四川
𝓓𝓪𝓹𝓱𝓷𝓮🎀,我的华为手机听完自动爆炸了,7月1日 20:20  ,安徽
Devotion,安卓妹拜见苹果娘娘天冷关机关机关关机，天热烫手烫手烫烫手安卓妹拜见苹果娘娘娘娘掉电掉电掉掉电，碎屏碎屏碎碎屏,6月8日 00:26  ,辽宁
Titus Hui,我第一次听还以为是the AirPod,7月1日 10:40  ,广东
未寻为何,#没买过airpods的小程序免费为apple宣传#I confess cuz I'm安卓妹,6月7日 11:40  ,上海
小作䛖,安卓妹参见苹果娘娘，娘娘夏天烫手烫手烫烫手，冬天关机关机关关机,6月7日 12:24  ,辽宁
Wildest Dreams,查理小程序最新活动，赠送粉丝苹果手机,6月7日 18:03  ,湖南
CD,从lilym和pharita的cha过来滴！,8月8日 19:53  ,广东
🔇,#安卓妹ur not invited💅🏿💖,6月7日 11:23  ,广东
椎名林檎,小程序疑似致敬日本艺人椎名林檎,6月15日 00:05  ,广西
数学不考100不改名🇵🇸,好听！,9月29日 19:09  ,江西
花絮洁.,好听,9月29日 00:42  ,河南
Lemonade,So I - Girl so confusing - Apple 无疑是brat中最触动人心的篇章，电子节拍的包裹下，是一颗渴望被理解、却因各种阻隔无处传达、最终疲惫不堪伤痕累累的心。当她一刀切开苹果，让她毛骨悚然的并不是腐烂的果核。,9月29日 00:28  ,山东
很想你zcs,听了有想吃小苹果的欲望,9月28日 14:58  ,江苏
大阪小猫神,好洗脑啊啊,9月28日 09:43  ,四川
五百年前,嘿耶～,9月25日 21:13  ,湖北
裴珠泫正牌女友,anna美得我比痛,9月25日 00:48  ,江苏
老万,熊出没,9月24日 16:01  ,陕西
vicky,好听,9月24日 13:06  ,广西
ㅂㄱㅅㅇ,怎么会有歌艺术成这样。。,9月22日 15:48  ,北京
白a湫,只有水果手机才能听～,9月22日 08:18  ,山西
Perpetual,开开真的很喜欢BRAT,9月21日 20:18  ,天津
光脚鸭,我的天 我觉得整张专辑都好上头,9月21日 16:44  ,新疆
六花,be airport空耳be Apple,9月20日 17:13  ,山西
藤子,好洗脑,9月20日 00:06  ,湖北
Petrichor,有点像好姐妹蹲姨会用的合成器音色和编排,9月19日 18:43  ,海南
你爹,好洗脑,9月17日 01:18  ,江西
十火,荣耀听完死机了,9月15日 14:52  ,上海
NeMo&Mei,上次听她的歌还是在上次,9月14日 22:52  ,未知
Kikoyamatooo*👣,绿苹果🍏,9月13日 08:29  ,山东
.鸢樱信lin^🖇,破万了诶！,9月13日 02:41  ,河南
𝑫𝒆𝒋𝒂 𝒗𝒖,亲娘啊怎么这么好听,9月11日 11:06  ,山东
椎名林檎,SOS，仔细阅读了一下歌词，有点像青少年思考关于亲情关系，未来发展什么的,9月11日 07:39  ,广西
一🚀钟情⁸⁰⁵ ❤️SAST,hit fm 87.9,9月10日 23:52  ,上海
荞麦凉面,true music,9月9日 18:24  ,澳大利亚
小猫真圆,我果一定要remix上啊,9月7日 16:27  ,广东
!TEENPOP!,開頭有點像跳一跳,9月7日 08:00  ,湖北
火辣玫瑰王,这段时间大街小巷到处都在放，爆火🔥,9月6日 13:18  ,澳大利亚
Ultraviolence,安卓妹不准听,9月5日 08:56  ,江苏
J,宝藏！！,9月4日 20:27  ,江苏
气泡番茄,库克发布会要不要整上,9月4日 19:02  ,未知
🥶,有点震惊了，这首在国外cjwd火,9月3日 00:58  ,山东
Plum,"apple drop down to the ground from the tree ,but the seed inside will be carried to anywhere",9月2日 14:40  ,湖北
xifuuuu,听完我是苹果妹,9月1日 11:45  ,宁夏
Sakura🌸,这是我萌安卓妹配听的吗给我干哪来了,8月31日 22:46  ,广西
嘎嘎尬王,安卓妹可以听哈,8月30日 18:02  ,吉林
2521,暑假你不要离开我哇,8月29日 19:57  ,北京
就是沙漏⏳,欧美辑 O7 515,8月28日 13:55  ,河南
wiseguy,"新歌入榜HitFM Top 20, 排名No.12",8月27日 05:59  ,江苏
xxxany.,豪庭,8月27日 02:02  ,重庆
xxxany.,安卓妹可以听吗,8月27日 01:55  ,重庆
choo,开车逃离🚗～🚦,8月26日 22:47  ,湖南
jhyoona_,好喜欢,8月25日 16:17  ,河北
Little Monster,好如听,8月24日 23:50  ,福建
Rayne,我的雷军牌小米14在湖北巴黎听💥爆炸了,8月24日 01:46  ,湖北
坎坷带领进入天国,1:00神的处理,8月22日 21:41  ,云南
Denoooo,让我想起了无耻之徒，这首歌就好像是写给菲奥娜的,8月21日 09:39  ,重庆
HAZEL,戳爷一家跳舞视频,8月20日 15:24  ,江苏
..黑择明....,为什么评论那么少,8月20日 10:02  ,新西兰
ciao amore,中文博大精深 翻译上大分,8月19日 09:35  ,上海
Elvinzhong,tom daley的舞好好看😻,8月18日 10:44  ,美国
Little Monster,跳起来了哈💃,8月17日 00:55  ,中国澳门
DDAYO_10,我认为苹果🍏已经腐烂到核心🖤了从之前所有的苹果🍏中传下来⬇️的所有东西我把苹果分成对称↔️的线🧵我发现有点吓人🫣让我只想开车🚗,8月16日 16:02  ,重庆
你,🍏🍏🍏🧃,8月16日 14:12  ,浙江
虚以微（Explicit）,我的安卓机听到自动爆炸了,8月15日 11:10  ,福建
守望尘世,苹果秋季发布会不得放这首歌？,8月15日 09:16  ,湖南
Ryan Evans,于是我深度剖析原生家庭和个人性格的关系，得出的结论把我吓坏了，我只想开车跑路,8月14日 10:15  ,上海
NIGHTLIGHT,升到52了，英榜第八,8月14日 07:12  ,北京
Hxx,救我一直以为副歌是apple 结果是airport？我还说这个apple的发音挺有趣的,8月13日 07:57  ,浙江
谷爱0,好俏皮好喜欢,8月12日 22:00  ,黑龙江
卡比巴拉,听完自动下载了一款蓝色软件，苹果手机给我道歉,8月12日 16:04  ,广东
三岁日常炸裂,留学生的内心,8月10日 22:29  ,英国
农村塑料工,妈妈,8月9日 22:13  ,广东
积极废人,挞挞cha,8月9日 13:15  ,广东
CD,从lilym和pharita的cha过来滴！,8月8日 19:53  ,广东
皮蛋rolo粥,挞妹cha了哎 好好听的歌,8月8日 17:16  ,江苏
伸了个懒腰,立马请美啪来remix一下好吗，一定会大火特火,8月8日 16:02  ,重庆
伸了个懒腰,全专最佳,8月8日 16:01  ,重庆
猫椤,the apple,8月8日 13:37  ,北京
asa_hii,oppo A5能听吗,8月8日 13:15  ,美国
春秋,好听,8月7日 18:26  ,湖南
NIGHTLIGHT,恭喜b榜66,8月7日 07:00  ,江苏
AlMEE,快找人混一下apple吧,8月4日 11:34  ,辽宁
P,It's devine,8月2日 20:44  ,上海
Carpe diem.🦌,意译真的神了,8月2日 12:46  ,四川
麻瓜成長日記,玛玛西塔过来的,8月2日 01:44  ,广西
nightmaraway,原本brat里面没太在意这首歌直到我担cha了这首歌后，我就又听了一下，真的越听越好听！,8月1日 22:51  ,陕西
🌌,听完已经破如防,7月31日 18:56  ,内蒙古
NIGHTLIGHT,360冲到b榜55了，apple也前85了,7月31日 09:46  ,黑龙江
Blurryface,这张专辑太好了 听感特别好，同时真的做到了诠释party girl这个主题的深度 真好,7月29日 20:43  ,广东
💤,spotify美区进前50，预测billboard美区公告牌单曲榜进前100，brat成为charil xcx单曲入榜最多的专辑，apple入榜公告牌是这张专辑的第三首,7月29日 19:33  ,广东
雪辞,豪庭☝️,7月29日 12:33  ,四川
晚安小于,各位iPhone用户早上好,7月29日 10:22  ,安徽
傻乐跳跳虎,前奏好像小苹果…………,7月27日 16:43  ,广西
Fi,好喜欢前奏～,7月26日 22:32  ,江苏
领悟不到不是彬准的错,超好听,7月26日 18:44  ,重庆
SupeRadar,《安卓妹🚫👂🏻》,7月26日 09:05  ,贵州
socfcn,已经学会苹果舞了,7月26日 00:49  ,上海
星野淇凌,感觉前奏好像save your tears,7月24日 21:26  ,福建
欧美报刊亭,苹果在传统上象征着知识和诱惑，洗茶通过这一隐喻深入探索与剖析个人与原生家庭的关系。却发现这个问题根深蒂固，代代遗传。这首歌从而触及了想要逃离过往阴影、渴望被理解、追求自我认同等主题。《Apple》近日在短视频平台走红，有望成为今年又一支夏日热单。,7月24日 16:15  ,广东
Hxx,好喜欢最后一段.,7月23日 07:40  ,浙江
.,苹果娘娘驾到,7月19日 14:18  ,四川
沈沈沈,香草将太郎,7月19日 08:14  ,黑龙江
Emily_fishlili,谁是通过Osaki 跳舞过来的,7月16日 16:04  ,贵州
C.xcx.,我们小程序也是蹭上拉椅子了,7月16日 14:41  ,江苏
xyyy-,看了shotaro的cha过来的,7月16日 03:01  ,浙江
HaEr酱,shotaroooooooo,7月16日 00:44  ,新疆
李龙馥可敌国,郎好强的律动 很适配🍏,7月15日 21:54  ,河北
🔥🌪️,taro多跳舞,7月15日 18:17  ,江苏
浩宇o3o,安卓妹🈲听,7月14日 15:32  ,重庆
gruisehrace,小苹果,7月13日 10:23  ,上海
sociopath,这首真的喜欢,7月13日 09:26  ,河南
此人钱少但事多,以后跳广场舞我要跳这个。,7月9日 17:19  ,湖南
⛵远洋去哪儿~,结尾这段好潮,7月6日 19:01  ,四川
𝓓𝓪𝓹𝓱𝓷𝓮🎀,我的华为手机听完自动爆炸了,7月1日 20:20  ,安徽
Titus Hui,我第一次听还以为是the AirPod,7月1日 10:40  ,广东
tayisloml,苹果妹申请出战aaa/.💅🏻,6月27日 13:29  ,上海
太不巧！！,1.03神仙阿,6月27日 00:26  ,山西
chucky,这首真的好好听呜呜呜,6月25日 10:59  ,广东
Leⅴi,还以为是小苹果原来是小程序苹果,6月23日 03:36  ,江苏
发霉哈密瓜,还以为采样了小苹果呢,6月22日 21:43  ,湖南
哇壹番星,Airport读快点就是Apple,6月22日 18:10  ,江苏
哇壹番星,查理小程序给大伙抽个,6月22日 18:09  ,江苏
CalLas,从逃离窒息亲子关系的独立女孩，成长后在抽身离开时会思考家长孤独时的归处在哪,6月21日 06:29  ,内蒙古
GaNH₃,前奏怎么听出了小苹果的感觉,6月20日 16:37  ,湖南
Kim,安卓妹禁听,6月19日 15:40  ,山东
R.,受不了了开头真的好像小苹果,6月18日 03:43  ,湖北
♚,听完后我是苹果妹,6月18日 01:48  ,河南
♚,听之前我是安卓姐,6月18日 01:47  ,河南
DÈNG S.,开个尖叫楼，啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊,6月16日 23:29  ,湖南
马拉美的星期二,,6月16日 21:36  ,湖北
^Nuooi_Barbie.,太好听了,6月16日 19:50  ,浙江
来年夏天.,我好喜欢这首,6月16日 18:33  ,浙江
Verchant,我的老天爷怎么好听成这样！,6月16日 17:59  ,新疆
lanataylor见过霉霉版,安卓妹已经听湿了,6月16日 10:49  ,浙江
混吃等死,安卓妹不准偷听,6月16日 01:14  ,湖北
constant repeat,安卓妹禁止聆听,6月15日 17:57  ,广东
澈萤,好爱这首,6月15日 15:58  ,河南
椎名林檎,小程序疑似致敬日本艺人椎名林檎,6月15日 00:05  ,广西
无名猫,1:56后面的乐器声听着好熟悉啊,6月14日 22:06  ,福建
ciaos,这首好爽好流畅,6月14日 15:25  ,上海
ciaos,每首都好好听,6月14日 15:10  ,上海
查理小程序,小程序免费给粉丝发放AirPods,6月14日 14:27  ,辽宁
自由如风,妈呀我真的真的好爱,6月14日 13:01  ,上海
¿,全专最佳谢谢,6月14日 11:11  ,湖南
argenta,最爱这首,6月14日 00:16  ,贵州
Weda4Real,oppoA5申请听歌,6月13日 17:40  ,上海
Who You,前奏好爱,6月12日 19:29  ,四川
航行者,@ Tim Cook,6月12日 17:06  ,湖北
萝炖,迪斯科🪩与伟大苹果,6月11日 23:04  ,江苏
瓜锤,按顺序听 这前奏我以为小苹果结果点开是小程序版的小苹果 真是服了,6月11日 15:49  ,福建
Finley,听久了感觉有点像云南山歌DV里的那种音色（dance break的部分的那种）,6月11日 15:12  ,云南
windstill,好流畅，好爱,6月9日 21:54  ,云南
坎坷带领进入天国,当我孤独时我经常自己一个人走走,6月9日 10:24  ,云南
逢考必过小幸运,爱的开发者,6月8日 23:41  ,四川
伸了个懒腰,听湿了,6月8日 17:25  ,重庆
Orpheus,期待16发布会出现这首音乐,6月8日 16:34  ,四川
doin time,伴奏也有点像那个小苹果,6月8日 16:04  ,四川
啊啊啊啊啊啊,我的华为手机爆炸了,6月8日 14:56  ,重庆
Zackary,库克听了都要列入iPhone 16 BGM,6月8日 12:02  ,江西
evil,安卓妹偷听一下,6月8日 11:10  ,广东
Hoon,,6月8日 10:45  ,云南
LADY MAAARS,苹果秒了！,6月8日 09:52  ,安徽
noangel,有点像植物大战僵尸谢谢,6月8日 08:18  ,四川
坎坷带领进入天国,这个词怎么那么闹剧,6月8日 06:49  ,云南
Devotion,安卓妹拜见苹果娘娘天冷关机关机关关机，天热烫手烫手烫烫手安卓妹拜见苹果娘娘娘娘掉电掉电掉掉电，碎屏碎屏碎碎屏,6月8日 00:26  ,辽宁
👥,请问安卓机可以听这首歌吗,6月8日 00:18  ,广东
hachiware赛高,这是在翻译什么,6月7日 23:35  ,云南
✌🏻,听爽了,6月7日 23:04  ,广西
麦克罗Z,全专最厕靴靴,6月7日 21:52  ,山东
Ü,这首真的听的好爽,6月7日 20:42  ,日本
Devotion,最佳！,6月7日 20:02  ,辽宁
大四_,全专最佳,6月7日 19:14  ,河北
Wildest Dreams,查理小程序最新活动，赠送粉丝苹果手机,6月7日 18:03  ,湖南
Xavier Brendon.,谢谢查理送来的,6月7日 17:56  ,江苏
Enchanted,全专最佳,6月7日 15:51  ,广东
芫荽,我的三星给听炸了,6月7日 14:01  ,荷兰
Landy蓝迪,全专最爱靴靴,6月7日 12:32  ,广东
小作䛖,安卓妹参见苹果娘娘，娘娘夏天烫手烫手烫烫手，冬天关机关机关关机,6月7日 12:24  ,辽宁
Leo,the airpod,6月7日 12:10  ,广东
sad savior,最佳,6月7日 12:05  ,云南
未寻为何,#没买过airpods的小程序免费为apple宣传#I confess cuz I'm安卓妹,6月7日 11:40  ,上海
🔇,#安卓妹ur not invited💅🏿💖,6月7日 11:23  ,广东
"c,zRz",,6月7日 10:57  ,江苏
potayto,我们brat自己的yuck,6月7日 10:50  ,四川
Zackary,,6月7日 10:30  ,江西
cosmo栾星越,我来了,6月7日 08:50  ,陕西
YIHANG,安卓手机播放会爆炸,6月7日 07:43  ,上海
15876,蹭苹果了？,6月7日 07:23  ,福建
Pablo322,Android,6月7日 07:22  ,河南
HOURS.,I guess the apple doesn't fall far from the tree 这是她写到的 关于亲子关系的阻抗,6月7日 02:54  ,新疆
Roman XCX,用华为手机听完手机变绿了,6月7日 02:32  ,加拿大
K1ndness,从这首开始一切都无法停止了,6月7日 01:32  ,河北
K1ndness,全专最佳出现了,6月7日 01:14  ,河北
nectar.,给安卓妹发苹果,6月7日 01:07  ,贵州
自由如风,妈呀最爱,6月7日 00:54  ,上海
🍁California boy,爱惨了这首,6月7日 00:48  ,北京
黍离别离,#查理小程序给粉丝免费发放苹果手机,6月7日 00:35  ,江西
🐈,安卓妹不能听吗,6月7日 00:30  ,广东
只鸥,这个好爽,6月7日 00:25  ,湖北
nostalgia👾,全专最佳,6月7日 00:23  ,福建
X,限苹果手机听,6月7日 00:19  ,重庆
说声晚安,全专最佳,6月7日 00:10  ,宁夏
BaiBerber,🛋️🍏,6月7日 00:01  ,上海
