Username,CommentContent,Time,Location
涉晦主意搁瞑者,Uk曾经顶流Come-back！,8月9日 05:32  ,四川
Mr. Shameless City,这个组合的Baddadan Liquor&Cigarettes Disconnect都特洗脑。,8月25日 02:43  ,内蒙古
Moonhowling,豪庭,9月23日 10:23  ,重庆
让世界充满爱的力量,旋律太炸啦，DNB牛笔,9月13日 18:10  ,江苏
-熙楽,UK榜好叼,9月10日 14:57  ,陕西
XIAO,不是，评论就这29条啊？？,9月4日 21:10  ,江西
侧帽人,感觉这歌好适合编舞,9月4日 13:22  ,浙江
Astro.驼,还得是chase&status,8月31日 12:52  ,广东
就是爱音乐,🪩💥,8月30日 00:59  ,广东
ASH,真是baba又dandan啊,8月28日 11:24  ,新疆
嘿,英榜比美榜好听多了,8月27日 19:45  ,湖北
█,1234,8月27日 10:32  ,山东
SOS',omg,8月25日 12:09  ,湖北
Relatively,UK榜第一留影,8月25日 04:54  ,福建
Mr. Shameless City,这个组合的Baddadan Liquor&Cigarettes Disconnect都特洗脑。,8月25日 02:43  ,内蒙古
来自深渊你已无路可逃,好爽的歌,8月24日 18:03  ,贵州
一切无聊,Boom！,8月24日 16:01  ,北京
L﹌y﹖.,还得是英榜,8月24日 14:06  ,北京
(￢_￢),1,8月23日 12:01  ,山东
要去一趟那天,🫡,8月23日 01:36  ,广东
孙悟空,空罐哇,8月21日 18:02  ,广东
。。。,好久没听到激动人心的歌了,8月21日 13:42  ,福建
Philip,跪求更新歌词！！,8月20日 12:27  ,未知
LESLIE BOWIE,卡库,8月20日 01:23  ,江西
涉晦主意搁瞑者,Uk曾经顶流Come-back！,8月9日 05:32  ,四川
