Username,CommentContent,Time,Location
欧美报刊亭,Chappell音乐灵感来自80年代的合成器流行，并深受变装皇后的影响。这首歌是对酷儿身份的认同：“请不要逃避自己的真实情感，请拥抱自身的女性气质，我知道你正在努力接受自己。” 最后的变速处理更将歌曲狠狠升华。,4月8日 17:34  ,广东
lemon cola,新的通讯录女王已经悄然而至,7月7日 02:45  ,福建
Freak.,有一种理解这是姬恋双，双要去结婚的事 www,6月4日 06:58  ,广东
雪落无声,英美大不同，每次那种比较好听，但是很冷的良曲，都会先出现在英榜,5月9日 02:45  ,江苏
π,你当然可以继续维系你所谓的“家庭”，毕竟我也不会跟一个不会正视自己情感的人一起对抗世俗。Good Luck,5月7日 04:18  ,山东
🍪,dy刷到有人评论这首风格像打雷❓我问他也说不出个所以然来，所以哪里像打雷了❓专给我雷招黑不是，明明很80s欢快，害得一堆人在下面骂打雷……偶然听到真的真的很好听，最后一段的vocal我要美得晕厥过去了，未来可期Chappell,7月9日 03:00  ,湖北
米苏ღ.,我不管，我是日推的！是谁？是哪位聪明蛋和我一样的高级品味！,5月15日 13:32  ,广东
Philip,结尾的降速处理真是画龙点睛！！,5月2日 20:14  ,广东
hasaki,你🫵可以亲👩‍‍💋‍👨💋一百个💯男孩👨⛹️在酒吧🍸🍹✨喝 🔫🌠 又一杯酒💥 尝试停下🚫✋感情你🫵可以说这是✨你的方式✨🤥做一个新借口🗣️🤕又一个愚蠢理由好运宝贝👄好吧好运宝贝💥✨🌠🏳️‍,6月23日 21:07  ,重庆
奶罐霖,看到满屏评论我交的背景卡片就知道这首歌还没火就已经变土了,7月14日 15:48  ,四川
克里斯西西,戳爷演唱会DJ热场时放了，好上头，演唱会回来之后听了一晚上,6月24日 05:34  ,英国
Roman XCX,多年后看着你枕边的头老公 你才会想起当年我把你扣的多爽,6月21日 13:00  ,加拿大
LuckyPeer,不是，这姐们在国内这么冷门嘛，才几百粉，spotify上怎么说也是全球前500,5月29日 08:25  ,河南
#1f1e33,单曲胶美得太突出了🥹,6月27日 23:31  ,广东
reputation,预感学这位歌手会变成通讯录女王,7月10日 17:56  ,河北
PaPu,这后面慢速是什么鬼…,15:45  ,广东
广炫-圣罗诚,缝纫嫌疑太重了。但是国内榜单不堪入目,12:21  ,河南
gegebtw,妈的这首真的越听越上头,9月29日 23:31  ,四川
霉霉姐的昆虫妹,猪排姐只火了一首幸运宝贝，每天戏真多，作为歌手还是多制作好音乐，及时排解负能量，而不是每天抱怨，首谈退网...,9月29日 10:45  ,四川
白胡子星璇,神,9月29日 03:00  ,福建
해금,这才是艺术,9月28日 23:49  ,河北
KKangss,你🫵可以亲👩‍‍💋‍👨💋一百个💯男孩👨⛹️在酒吧🍸🍹✨喝 🔫🌠 又一杯酒💥 尝试停下🚫✋感情你🫵可以说这是✨你的方式✨🤥做一个新借口🗣️🤕又一个愚蠢理由好运宝贝👄好吧好运宝贝💥✨🌠🏳️‍,9月28日 18:00  ,上海
沙里瓦,我嘞个石矶娘娘,9月28日 17:58  ,广东
Nice,听的最后我以为磁带绞带了。,9月28日 09:21  ,山西
Minatozaku,虽然但是超生代真的只有她的歌能给我一种爽到天灵盖的感觉 其他人就素淡淡的,9月27日 19:09  ,广东
房东的猫,好的,9月27日 00:37  ,贵州
看我干啥,好听的！副歌很有记忆点,9月26日 23:29  ,浙江
江成岱,袁立之歌,9月26日 19:42  ,法国
ㅤ,喜欢,9月26日 17:35  ,浙江
Giselle,好伟大的bridge,9月26日 10:08  ,安徽
夕阳,这编曲叠了多少层？,9月25日 21:55  ,北京
Andre,t倒贴直女的故事？,9月25日 20:50  ,湖北
JOJO_,…最后一句把我听眼睛袅袅…,9月25日 20:26  ,广东
娇嗔,你🫵可以亲👩‍‍💋‍👨💋一百个💯男孩👨⛹️在酒吧🍸🍹✨喝 🔫🌠 又一杯酒💥 尝试停下🚫✋感情你🫵可以说这是✨你的方式✨🤥做一个新借口🗣️🤕又一个愚蠢理由好运宝贝👄好吧好运宝贝💥✨🌠🏳️‍,9月25日 17:30  ,湖南
起風了🙌FORREST,她还是离开了 （,9月25日 10:22  ,贵州
Grande,太好听了救命 现象级,9月25日 01:53  ,海南
再一把，就睡觉,我看她这奇怪的造型，越看越奇怪，这图片里的鼻子👃🏻居然是猪鼻子，,9月24日 21:13  ,广东
那我先走了,第一次发现封面是猪鼻子,9月24日 21:04  ,广西
输入昵称,你🫵可以亲👩‍‍💋‍👨💋一百个💯男孩👨⛹️在酒吧🍸🍹✨喝 🔫🌠 又一杯酒💥 尝试停下🚫✋感情你🫵可以说这是✨你的方式✨🤥做一个新借口🗣️🤕又一个愚蠢理由好运宝贝👄好吧好运宝贝💥✨🌠🏳️‍,9月24日 19:48  ,海南
Ambitious,听的好爽,9月24日 14:29  ,北京
