Username,CommentContent,Time,Location
呱呱,#注入灵魂的欧美歌词# 你想感受一下吗,9月14日 08:26  ,重庆
Fy.,破案了原来lunch吃的是underwear.,8月2日 06:59  ,河南
¿XiXiX?,GUESS ᵍᵘᵉˢˢGUESS ᵍᵘᵉˢˢGUESS ᵍᵘᵉˢˢ,8月2日 12:26  ,重庆
什么芋泥香蕉,一大清早要被你们钕桐吓死了,8月2日 08:41  ,湖北
555%,翻译完成了他的毕生之作,8月2日 12:34  ,云南
.,亲，这边不建议underwear生吃哦～夏天的话，微烤三四分钟，配点沙拉酱和果汁口感会更好哦。,8月2日 08:31  ,上海
NIGHTLIGHT,what happened?小程序你真的，把洛奶和碧梨都请来了，又要背赤壁赋了,8月2日 07:01  ,北京
BRAT💚,好美的hyper pop，有点像通讯录舞池大vogue金曲,8月2日 12:38  ,广东
YoBruh,这featuring咋还写歌名里了哈哈哈,8月2日 08:36  ,山西
静候节假日,大清早被老梨吓死了 补药爱上侄女啊,8月2日 11:02  ,湖北
Zackary,这下Guess真从女支女音乐变成蕾丝音乐了💃,8月2日 12:39  ,中国台湾
Antifreeze,"“Charli likes boys, but she knows I'd hit it. Charli, call me if you're with it.”So GAAAAAAAAAAY omg",8月2日 07:44  ,广东
吃了娅娅,碧梨自从你出柜后简直帅的+111111……迷人性感的小嗓音梨姐请扣爆我坐等娅娅出柜和梨来个官宣曲,8月3日 12:10  ,河南
Solitaire,碧梨在2014至今第一个Feture,8月2日 07:22  ,未知
地下室打婆婆,感觉已经互抠过10086遍的两个小女孩,8月2日 08:21  ,湖北
NnTgNg,#怎么会艺术成这样#,9月29日 22:13  ,福建
klamooo🔅,啊啊啊啊我的两个最爱的世界重合了！！,9月29日 22:05  ,江苏
jimmy,很适合秀场,9月29日 11:51  ,四川
jimmy,后现代就是一样,9月29日 11:49  ,四川
jimmy,这是什么。。。哈哈哈,9月29日 11:49  ,四川
@,我的妈耶 这是我能听的吗……,9月28日 15:56  ,重庆
罗生兮堂下,男有rush女有guess,9月27日 12:24  ,江苏
春分无眠,此时的我,9月26日 14:07  ,四川
M,hh,9月26日 10:48  ,上海
瑶,后赤壁赋,9月23日 22:22  ,上海
바보,封面牛仔裤看起来质感很好求链接,9月22日 16:27  ,福建
SLYTHERIN🥑,#注入灵魂的欧美歌词# 最佳钕铜,9月22日 16:25  ,上海
바보,赤壁赋太上头了,9月22日 15:24  ,福建
影子,你永远不知道一个清纯可爱说自己是直的的女孩耳机里在听什么,9月21日 20:39  ,北京
TUSA·G,有点像daft punk的硬好快强,9月21日 15:28  ,湖北
sryiminsane:(,英式美式口音可以分出来！！￼￼,9月21日 13:35  ,上海
Mi$ter $uk,封面,9月21日 11:57  ,北京
金善宇老公是西村力,好炸裂的歌词,9月20日 08:36  ,海南
샹옌징.,到发情期了？,9月19日 18:54  ,贵州
CZ。,感觉刚吃完。,9月19日 17:33  ,江苏
成功人士,吓人,9月19日 17:13  ,安徽
香槟问题,玛雅 好美的精神状态,9月19日 01:47  ,广东
Nonsense,好爽听的,9月18日 18:31  ,重庆
Eon.,牛批,9月18日 16:51  ,陕西
翮逸篪,真的误闯,9月18日 08:22  ,陕西
还好,好应当 好应当🥹,9月17日 22:55  ,四川
wwimf7035🤟,你们钕铜吓死我了,9月17日 21:12  ,北京
phx,我↗️在东⬇️⬆️京为↗️你精心↘️↗️挑选的⬇️⬆️⬇️,9月17日 00:25  ,四川
idlenk_lvvvv🐐,这是可以发的吗？。,9月16日 23:19  ,北京
要睡着了,喜欢这种编曲有没有类似的,9月16日 17:16  ,湖南
Perpetual,🩲,9月16日 16:43  ,北京
바보,爽💃💃💃,9月15日 22:31  ,福建
phx,草这个歌词,9月15日 21:21  ,山西
SHORTN' SWEEEET,我宣布这是我们学校的新校歌（bushi）,9月15日 19:01  ,北京
林,赤壁赋,9月14日 18:34  ,四川
呱呱,#注入灵魂的欧美歌词# 你想感受一下吗,9月14日 08:26  ,重庆
麻辣烫第一鲨手,重庆市歌,9月13日 18:22  ,四川
蓝邻居,Mv 真是内裤飘飘,9月13日 11:02  ,北京
🍔可乐,#这一刻直接封神# 00:43碧梨的歌曲太好听啦！,9月13日 10:43  ,广东
龙旂,本人直男误入钕铜圈惹,9月11日 19:02  ,浙江
坎特洛特高材生,拉吧放这首歌真是不知道会嗨成啥样,9月10日 23:31  ,未知
마이크,charli的cha是插亖碧梨的cha,9月10日 23:04  ,广西
晚安,好爽,9月10日 00:24  ,江苏
🌽Cindy Morrow🥔,CharliBillie,9月9日 21:49  ,黑龙江
eternityfortb,碧梨怎么那么会叫啊,9月9日 17:51  ,贵州
烛龙小蛇,喜欢！,9月9日 10:17  ,广东
霸凌咖,我的天呐 查理和比例的cp名是不是要叫查比理,9月9日 03:40  ,浙江
爱的人呐你不要再忧伤,听的🦐缅施诗的,9月8日 21:20  ,河南
918房产销售爆浆狗屎,原来梨是同（？,9月8日 20:07  ,广西
Rhythm,跑步神曲,9月8日 20:02  ,广东
eternityfortb,发生什么事了,9月8日 19:31  ,贵州
5D357,你没有被邀请,9月8日 18:35  ,河南
♡←♂♂→♡,搞炒了啊啊啊,9月8日 16:41  ,湖南
yan.,"别人要看笑话 有那么好看? 我和我老公说话  跟别人有关系？ 那么多人要看  少看点戏吧  毕竟我和她 , 都不是好人",9月8日 02:25  ,湖南
蕊小妞,从帕梅拉这里过来的,9月7日 17:48  ,北京
I_am_Celien🍪,MV苦茶籽滿天飛 這集不太環保,9月6日 15:35  ,广东
鱼_,赤壁赋,9月6日 14:08  ,上海
霸凌咖,扣扣音乐,9月6日 09:55  ,浙江
北鱼,我嘞个赤壁赋,9月6日 08:44  ,河南
RAS_如懿,嘿比例你在吗,9月5日 21:44  ,北京
sido,1000,9月5日 19:02  ,浙江
sido,破99,9月5日 19:02  ,浙江
sido,98,9月5日 19:01  ,浙江
