Username,CommentContent,Time,Location
GelaD,最佳新人不是罗恩就是匠妹,8月2日 22:41  ,广东
BCxochi,格莱美新人传承现场泄露,8月29日 23:56  ,福建
Inconsolable,这首歌一听就感觉好适合当学校晨跑或者做早操的背景音乐啊,7月5日 13:04  ,浙江
Manson,这首歌和唱法都很gwen stefani,6月16日 14:12  ,广东
霉霉姐的昆虫妹,比泰勒斯威夫特的me好听多了,8月18日 16:36  ,四川
Mocha,这歌国外挺火的吧。。。,2023年9月2日 12:39  ,山东
Senrile(⚡️🍓),歌风娅变异，画风嘎变异。好爱,8月6日 23:20  ,广东
hahay,刷到了和娅娅合唱的舞台，太嗨了,8月21日 19:25  ,辽宁
ooooo.,高宣娅言 h o t t o g o！！！,8月22日 18:31  ,四川
屹,额滴神啊这就是美国人自己的广播体操,8月10日 19:29  ,上海
啦,副歌有点厕……本来听前面感觉会很棒,7月20日 17:02  ,法国
火辣玫瑰王,火疯了救命大街小巷到处都在放都在唱…,9月18日 11:04  ,澳大利亚
julie,学校图书馆来的，真挺好听,04:47  ,美国
李李卡鲁,跳起来！,9月28日 08:15  ,湖南
五彩斑斓的平平🦄,好听,9月24日 12:16  ,上海
五彩斑斓的平平🦄,叛逆青春校园剧里XX学校的校歌的感觉,9月24日 12:16  ,上海
positions,spelling is funHOTTOGO,9月23日 14:02  ,陕西
nooranarana,不懂的有难了,9月22日 09:25  ,辽宁
y1ovo,不说别的歌 hot to go都可以听到男孩专辑同名单曲 的影子 当然不是说抄袭 只是那种感觉 插排接受采访时也说自己粉kp且深受她影响,9月21日 16:01  ,湖北
y1ovo,就这支单曲比较teen比较摇滚的曲风明明更像Katy perry首专男孩的风格的延续 没看出来像评论区所述的某个女星...,9月21日 15:57  ,湖北
凹洼挖蛙wā,1977ogo？,9月21日 12:21  ,加拿大
SQXCLZ,我的天在电台上听到的，然后就被种草了,9月19日 16:32  ,上海
火辣玫瑰王,火疯了救命大街小巷到处都在放都在唱…,9月18日 11:04  ,澳大利亚
有酒时放浪的客、,儿歌,9月18日 10:56  ,法国
犽犽戮山,前奏好好听啊啊啊啊,9月18日 09:42  ,四川
犽犽戮山,好喜欢前奏,9月18日 09:37  ,四川
张耀尹,挺好的,9月18日 08:16  ,四川
耔虤,有点ce,9月18日 03:02  ,广东
老虎屋子（芝士棒版）,HOT!TO!GO!,9月16日 13:48  ,河南
白茶,可以可以,9月16日 11:29  ,四川
白茶,OMG,9月16日 11:29  ,四川
可是我不用听圣诞星,又封神了姐,9月14日 17:56  ,广东
Shaun,更爱这首,9月13日 23:54  ,河南
林賽,有点小妞电影里的配乐的感觉诶,9月12日 14:20  ,未知
,现在入坑以后就是老粉了吧,9月11日 17:56  ,未知
贪吃蛇,otto！,9月11日 01:47  ,湖南
TheToys,通讯录战歌,9月10日 17:20  ,四川
偷电瓶的周某,我靠 太好听了！！！,9月10日 15:12  ,四川
l Love You、John,好听好听好听💫💫✨✨✨✨💥💥💥,9月9日 15:23  ,安徽
Noi_rx^n.🎧,艺术成这样,9月4日 00:03  ,河南
gossipnnnn,鼓点太像水果姐早期的歌了,9月2日 12:48  ,四川
罐装,狗熊爷爷,9月1日 23:26  ,北京
鸟羽,H❗️O❗️ T ❗️T ❗️O❗️ G ❗️O❗️YOU🫵CAN TAKE MEHOT TO GO🔥！,8月31日 21:08  ,河南
霉霉姐的昆虫妹,幼儿早教,8月31日 18:21  ,四川
Harden,喜欢,8月31日 13:15  ,未知
S...J.. Alex,普女的夏日春梦 握不住的青春酸涩,8月31日 06:31  ,四川
BCxochi,格莱美新人传承现场泄露,8月29日 23:56  ,福建
咚,跟好运宝贝好像,8月28日 14:42  ,重庆
Alter（已下海）,国内怎么没人听,8月28日 05:55  ,四川
ilomilo,怎么有点像猪猪侠主题曲（。💅,8月27日 23:57  ,上海
Lollipop,希望罗恩拿格莱美新人啦,8月27日 21:49  ,重庆
我要三分糖,没有好运宝贝好听,8月27日 02:21  ,湖南
Rey（放假ver.）,HOTTOGO！！！,8月26日 15:58  ,广东
gdgdgd,"1977,272!sing!",8月26日 02:57  ,美国
yookiil,H O T T O G O！,8月25日 22:39  ,福建
.,火了🔥,8月25日 16:28  ,山东
getachen,我们这个州可火了,8月25日 11:48  ,美国
futiledevice,嗨特购主题曲吗,8月24日 12:38  ,黑龙江
Panda,HOTTOGO~~,8月23日 17:04  ,福建
黑色的海,8月23 第一次get 工位打卡(好想跳舞💃),8月23日 10:26  ,广东
诺曼去他玛的洛克威尔,共享友谊,8月23日 07:46  ,广东
ooooo.,高宣娅言 h o t t o g o！！！,8月22日 18:31  ,四川
🍒,H O T T O G O,8月22日 10:08  ,广东
蒽,开口以为Madonna走出来,8月21日 20:18  ,山西
世漫一,罗恩姐加油,8月21日 20:06  ,英国
hahay,刷到了和娅娅合唱的舞台，太嗨了,8月21日 19:25  ,辽宁
￴￴,好热,8月21日 14:08  ,河南
Dweell,H O T T O G O！！！,8月21日 10:44  ,安徽
Seafry,很带感的一首歌 看插排姐的儿童手势舞过来的 哇塞塞 那个手势还可爱的（有点洗脑hot to go！）,8月20日 00:12  ,湖南
代笔人,马上火,8月19日 14:14  ,江西
凯瑞甘,H O T T O G O !!!,8月18日 18:19  ,浙江
霉霉姐的昆虫妹,比泰勒斯威夫特的me好听多了,8月18日 16:36  ,四川
假假,这歌要是放在sour里也是一点不违和,8月17日 06:03  ,重庆
王爬爬,后面怎么像跳健美操的,8月16日 23:38  ,四川
你鹿角呢,H O T T O G O！已被洗脑,8月16日 20:56  ,上海
Дванулевой,HOTTOGO!,8月16日 09:54  ,陕西
Harbour,要火了,8月16日 01:20  ,陕西
Lil Weezy,hey kids spelling is fun,8月15日 22:49  ,山东
ykaaar,H🙆‍♀️TT🙆‍♀️G🙆‍♀️,8月15日 10:51  ,山东
雪落谁国,所以又出一个丫丫？,8月15日 08:31  ,河南
Andrés,诶吃哦踢踢欧吉欧,8月14日 23:49  ,吉林
RUNNING SHOTS,在国外火爆了,8月14日 20:18  ,广东
™️爱音斯坦,马上999,8月14日 19:25  ,河南
倫,HOTTOGO！,8月14日 19:06  ,上海
loooooooooop,表面上看是匠妹和插排的竞争实际上是杰克姐和丹尼姐的竞争,8月14日 02:33  ,安徽
killing time,主歌比副歌好听😗,8月13日 16:54  ,广东
sivan,奥利维亚说你打婆婆,8月13日 16:13  ,安徽
Lilin,怎么好听成这样,8月11日 18:01  ,福建
屹,额滴神啊这就是美国人自己的广播体操,8月10日 19:29  ,上海
reasonpbh,you guys are gay！,8月10日 13:52  ,广东
🐷🐰,很夏天,8月9日 14:42  ,辽宁
Sandy,快点KTV上这首歌我要去嗨,8月7日 17:31  ,广东
Senrile(⚡️🍓),歌风娅变异，画风嘎变异。好爱,8月6日 23:20  ,广东
Plztayhere,啊啊啊,8月6日 15:38  ,安徽
⚫️🍊🦋,单循了,8月4日 08:42  ,江苏
GelaD,最佳新人不是罗恩就是匠妹,8月2日 22:41  ,广东
LNDY,歌词内容青少年不宜,8月2日 19:27  ,美国
迪士尼在逃野猴王,不是这么好听的歌，为什么不火啊？,7月29日 11:03  ,上海
moonlight,gxyy,7月26日 00:45  ,上海
绿屿,好好听好好听,7月23日 17:03  ,重庆
把心交给希望,比好运宝贝更好,7月22日 22:34  ,重庆
大鹅鹅鹅,必胜客听到了,7月20日 22:15  ,广东
Twone.,闺学娅样,7月20日 20:28  ,黑龙江
Mio,H O TT O GO！,7月20日 19:26  ,广东
啦,副歌有点厕……本来听前面感觉会很棒,7月20日 17:02  ,法国
青空,这个歌这么少人的吗？,7月10日 22:30  ,湖南
小琴,这首歌真是让我热血沸腾！它的流行曲风和轻快的节奏让人无法抗拒地想要跟着节奏摇摆起来。歌词充满了自信和独立的力量，让人感觉勇敢地追求激情和自由。尤其喜欢主题中强调的独立个性，它提醒我要坚持做自己，追求内心真正想要的东西。这首歌的创作背景也很有意思，我想象着歌手Chappell Roan在创作过程中的努力和灵感迸发，让我更加欣赏这首歌的价值和意义。不愧是我热爱的音乐！🎵🔥,7月10日 11:36  ,广东
McFly,居然没有999,7月10日 07:46  ,安徽
蔡文昊阿,感谢娅邀,7月8日 01:24  ,湖南
Inconsolable,这首歌一听就感觉好适合当学校晨跑或者做早操的背景音乐啊,7月5日 13:04  ,浙江
( Let Me In ),HOTTOGO！,7月5日 10:08  ,上海
use,翻译怎么是ai,7月2日 20:43  ,辽宁
是ちん君吖,HOTTOGO,6月30日 05:32  ,湖南
Willow,乍一听还以为我娅的歌,6月29日 19:10  ,浙江
郦然,唱出了中国山歌的感觉,6月29日 14:29  ,天津
赛门门,宇宙亲亲哦挤哦～,6月28日 20:00  ,四川
LLLLLllli,这就是2020s的ymca,6月22日 00:33  ,湖南
Manson,这首歌和唱法都很gwen stefani,6月16日 14:12  ,广东
加菲.沫沫ω,火钳刘明,5月13日 22:03  ,湖北
good 4 u,谢谢给我娅巡演开场,3月17日 19:04  ,陕西
Mocha,这歌国外挺火的吧。。。,2023年9月2日 12:39  ,山东
