Username,CommentContent,Time,Location
🤍Kay🩶,我知道大家都在听us，可是这首真的好好听，还记得首张EP的《I miss you. I’m sorry》吗？,6月21日 00:10  ,广东
👑Augenstern`.,"记得初中20年国庆节的时候天天循环瓜西的i miss you,I'msorry🔁现在又🈶新歌I Love You,I'm sorry啦🆕我也要成为一名准大学生了👩🏻‍🎓希望新的篇章一切顺利！！🚢",6月21日 00:47  ,湖南
euphoria,让我想起了倒贴直男的美好时光,6月21日 20:08  ,俄罗斯
阴天,期待deluxe版本in between 凑齐三大仙曲btw这砖的制作很丰富 要比好解脱上了一个level 尤其是这张专辑的bridge情感推进 旋律推进 歌词的细腻程度之深都是特别牛 希望能跟最近爆火的几位一样被更多人关注到,6月21日 00:22  ,山东
~'-'～,"""That's just the way life goes""这里开始真的有种被回忆硬控的感觉。（我说的是瓜西西4月份发的这首歌的视频，有看过且能感同身受的吗）",6月21日 00:57  ,四川
luxxxSun,"I miss you ,I'm sorryI love you ,I'm sorry",6月21日 13:07  ,辽宁
糖醋小熊,和泰勒斯的sad beautiful tragic的感觉好契合！！wow!!!!,6月23日 07:53  ,山东
Crystal,The way life goes 听的我真的要陷进去了啊啊啊，怎么能好听成这样,6月21日 18:14  ,北京
ww22,I miss you ，I'm sorry绝对是瓜西生涯最佳之一，这首的bridge写的好但还是和miss差了很多,6月26日 19:30  ,湖南
贝尔摩德,个人觉得这首歌是整张专辑最好听的一首，声音有点酥很好听,6月25日 02:49  ,贵州
lynnordi,声音怎么这么像Lorde,10:15  ,广西
positions,全专最佳,9月14日 19:45  ,陕西
@ME！,很夏天，MV很美,9月14日 16:02  ,广东
Vanessa小婊贝,75楼,9月13日 11:47  ,重庆
Felchazo.,i miss ui love u谁懂…,9月8日 19:59  ,山东
fanf,开口就迷住,9月6日 21:03  ,江苏
悲怆是一道伤口,真的很好听，bridge真的抓耳,9月2日 20:24  ,山东
灵魂猫,这个歌词真的好绝,8月27日 20:03  ,河北
cedric,此转最爱…怎么又皇又纯爱啊！！,8月27日 19:20  ,天津
hello earth,red回魂了,8月24日 16:41  ,重庆
维生素z,you were the best but you were the worst,8月23日 00:30  ,北京
春秋,好听哦,8月22日 23:41  ,广东
zm,心中全专最佳,8月20日 21:32  ,江苏
好蓝揾我。lexieee,主歌有一种淡淡的回忆感夹杂着忧伤。像午后的海滩，秋日的咖啡，与你同行走过的街巷以及种种……刚去完澳洲，我会记得这里的种种感动、种种风光。人生真是一场盛大的戒断,8月17日 12:40  ,广东
Viva La Vida,我太老了 好像过了听这种歌的年纪。,8月4日 18:32  ,内蒙古
iamkiana,好神,8月3日 13:01  ,福建
邓紫棋的菠萝包,好好听,7月30日 21:57  ,四川
Sufjan Stevens🌃,太好听了,7月26日 10:40  ,陕西
limbow,这歌有点霉霉的味道,7月25日 07:44  ,浙江
SherryBossaNova,MV好评！！都给我去看！！里面三套造型都好看！GA的MV终于有换好几个场景的了,7月24日 21:14  ,上海
大鹅鹅鹅,"i love you,i'm sorry",7月20日 22:03  ,广东
🌧,这首好好听！,7月19日 01:07  ,四川
Luca,MV拍的很好，歌也很舒服，喜欢,7月18日 02:27  ,上海
贵刁,像回到10年前听到好听的歌的感觉,7月18日 02:03  ,广东
luxxxSun,这首bridge现场得唱断气吧,7月4日 23:52  ,辽宁
猜,这首真的好好听,7月1日 23:26  ,上海
独偶终珍存,好听,6月30日 16:57  ,四川
饭碗没有彼岸,"I miss you, I'm sorry💫",6月28日 21:17  ,河南
Earth.,贝贝推荐来的,6月27日 23:12  ,江西
20090729👑🌻💛,BecBec 的歌单 都好听,6月27日 21:30  ,荷兰
💕S:🤍)💖🫠,贝贝听啥 我听啥 💖,6月27日 14:31  ,上海
David芬奇,mvp,6月26日 21:17  ,陕西
ww22,I miss you ，I'm sorry绝对是瓜西生涯最佳之一，这首的bridge写的好但还是和miss差了很多,6月26日 19:30  ,湖南
&1,I love you，I'm sorry，一首看歌名就会让人想起I miss you，I'm sorry的一首歌，同样的很好听,6月26日 11:49  ,河北
小琴,这首歌真的让我触动很深。作为一个追求个性和自由的人，我非常欣赏歌手通过音乐来表达自己的真实情感和独立思想。歌曲的流派是POP流行，给人带来了一种轻快的感觉，节奏欢快，让人忍不住想随着节奏跳动。而歌词深情而真实，充满了对成长和爱情的思考，让我有种共鸣的感觉。从歌曲的名字到艺人的选取，都显示出了歌手对于生活和爱情的矛盾情感的直面和勇气。这首歌给我带来了积极和正能量的力量，深深地触动了我。,6月25日 11:21  ,广东
贝尔摩德,个人觉得这首歌是整张专辑最好听的一首，声音有点酥很好听,6月25日 02:49  ,贵州
贝尔摩德,我喜欢开头弹吉他的旋律,6月25日 01:53  ,贵州
贝尔摩德,歌是在诉说爱的故事，感情真挚饱满。,6月25日 01:51  ,贵州
sunlight,瓜西你别太会写！,6月24日 20:16  ,广东
w,太喜欢这句了 好有画面感,6月24日 19:44  ,江苏
糖醋小熊,和泰勒斯的sad beautiful tragic的感觉好契合！！wow!!!!,6月23日 07:53  ,山东
InTheBlackDog,神中之神,6月23日 04:00  ,湖北
麻酱,肥肠好听,6月22日 22:11  ,河北
Kinsey_ts,好好听,6月22日 21:33  ,广东
你怎么连话都说不清楚,爱听21.....,6月22日 14:12  ,浙江
Es,"曾经的《I love you,I’m sorry》是悲伤的嘶吼，现在是释然坦然，是一种对过去的释怀和原谅，瓜西越来越棒了！",6月22日 10:01  ,广东
新原野之助,好好听啊,6月22日 09:18  ,重庆
Rey（放假ver.）,i miss u im sorry but now i love u im sorry,6月22日 00:01  ,广东
euphoria,让我想起了倒贴直男的美好时光,6月21日 20:08  ,俄罗斯
Crystal,The way life goes 听的我真的要陷进去了啊啊啊，怎么能好听成这样,6月21日 18:14  ,北京
Cassandra.,好的🏻单曲循环🔂走起,6月21日 13:23  ,浙江
luxxxSun,"I miss you ,I'm sorryI love you ,I'm sorry",6月21日 13:07  ,辽宁
のふふ,啊啊啊好好听 Aaron在 没意外,6月21日 10:34  ,江苏
。,啊啊啊啊啊好好听,6月21日 10:04  ,四川
。、。,第一句声线幻听lorde,6月21日 02:14  ,广东
هههه,这张专辑每一首都挺好听,6月21日 02:09  ,海南
晚安,最喜欢这一首,6月21日 00:59  ,江苏
~'-'～,"""That's just the way life goes""这里开始真的有种被回忆硬控的感觉。（我说的是瓜西西4月份发的这首歌的视频，有看过且能感同身受的吗）",6月21日 00:57  ,四川
fortnight,"i miss you, i'm sorryi love you, i'm sorry哈哈哈哈哈哈",6月21日 00:48  ,福建
👑Augenstern`.,"记得初中20年国庆节的时候天天循环瓜西的i miss you,I'msorry🔁现在又🈶新歌I Love You,I'm sorry啦🆕我也要成为一名准大学生了👩🏻‍🎓希望新的篇章一切顺利！！🚢",6月21日 00:47  ,湖南
Rue_,好听的我眼睛想尿尿,6月21日 00:32  ,北京
PGJJ²,好美的歌,6月21日 00:26  ,广东
阴天,期待deluxe版本in between 凑齐三大仙曲btw这砖的制作很丰富 要比好解脱上了一个level 尤其是这张专辑的bridge情感推进 旋律推进 歌词的细腻程度之深都是特别牛 希望能跟最近爆火的几位一样被更多人关注到,6月21日 00:22  ,山东
