Username,CommentContent,Time,Location
Lay U Down,#注入灵魂的欧美歌词# 单曲循环,9月14日 11:13  ,广东
若,#这一刻直接封神# 00:53 这首歌曲的编曲新颖，给人带来新的听觉体验,9月13日 14:30  ,广东
欧美报刊亭,随着“意式浓缩”大爆后，匠妹乘胜追击发布第二支夏日单曲《Please Please Please》。如果前者是在酒店泳池边休息时播放的音乐，那么后者就是在游乐场约会时播放的背景音乐，怀旧复古的制作同样勾起了浓浓的夏日情怀。“三请”本周正式登顶公告牌，并形成了双单曲同时霸榜的情况。,6月28日 11:06  ,广东
cc,小金毛不会唱这个吧！！！,8月17日 13:39  ,湖南
IF YOU🔝,lingorm闻着味都来了哈哈哈哈哈,8月17日 19:09  ,辽宁
~'-'～,上首单：Holy 谢特这首单：Mother 法克儿～～我匠真性情中人,6月7日 10:15  ,四川
Taisny,开启美妙一日仅需一首匠妹新歌 期待匠妹新专 🥹 不远了不远了pls pls plssoon soon soon,6月7日 09:59  ,湖南
星星风花和太阳,00k最喜欢的一首歌～orm: 跟你回家唱给你听🦋🐢🤍,8月17日 19:34  ,广东
叶惠美生吃紫河车,杰克大妈终于开窍了吗，好久没听过他写出这么悦耳的流行乐了,6月12日 02:00  ,安徽
八岐小兔,匠妹 Sabrina Carpenter 最新专辑歌曲「Please Please Please」官方MV首播，男友 Barry Keoghan 惊喜出镜值得一提的是制作人第一顺位是 Jack Antonoff！！,6月7日 08:30  ,上海
13jours,本霉粉匠粉又是Lingorm粉我真的幸福得晕过去,8月17日 20:36  ,江西
温迪戈TLS,匠妹是不是要用霉霉的制作人去刺激娅娅啊,6月7日 15:15  ,山东
Jeff.Ari💖,爱死匠匠高质新单，继续闪闪发光吧匠宝,6月7日 18:24  ,北京
Cola Yuki,Sabrina一句优雅无比的MF简直杀伤力十足,6月7日 21:20  ,吉林
ww22,来了，这次新专有意式浓缩就不会很糊的,6月7日 09:33  ,湖南
Alison·Kathy,完全不知道他是怎么唱出来的，看上去很简单的样子，这首歌你一唱就知道了，我感觉这首歌没有一个调子能唱的。,15:34  ,上海
➸❥,,13:10  ,云南
在路上,这歌感觉上头~,9月29日 23:11  ,广东
GYChen,什么时候可以娶到匠妹呢哈哈哈,9月29日 22:01  ,黑龙江
ME💋🌈,pls pls pls 💋💋,9月29日 13:15  ,河南
