Username,CommentContent,Time,Location
繁,女孩和女孩的爱，在海边的雨夜，外面的风再猛烈，你我之间也无限的温柔。,9月10日 15:33  ,澳大利亚
🌻,不在意别人眼里投射的自己没有永恒的梅雨季，只有永恒的艳阳天,9月16日 19:20  ,安徽
i,好好听不过为什么是folk,9月23日 01:05  ,江苏
Apricity,若干年后，我们就都是这首歌的老歌迷啦,9月19日 11:57  ,未知
Relief,"""the girl with blue hair""",9月18日 19:28  ,广东
Tt,omg this song is just so…,9月17日 14:29  ,内蒙古
Steven,怎么没人听,9月16日 22:03  ,四川
🌻,不在意别人眼里投射的自己没有永恒的梅雨季，只有永恒的艳阳天,9月16日 19:20  ,安徽
Yammilin,不是 给我听high了,9月16日 10:20  ,天津
1x,爽爽爽,9月16日 10:15  ,广东
阿安晚安,蚝听,9月15日 02:01  ,广东
G,静等歌火,9月14日 17:20  ,北京
ꪶⅈᠻꫀ,,9月14日 13:46  ,吉林
奈,好喜欢,9月13日 22:44  ,江西
繁,女孩和女孩的爱，在海边的雨夜，外面的风再猛烈，你我之间也无限的温柔。,9月10日 15:33  ,澳大利亚
Clec,走在加西海天一线的perfect matching song,9月9日 11:53  ,广东
拉拉裤,听的我好他妈爽啊,9月4日 15:10  ,浙江
Eurekar,You found a girl you like and you want to hide her in your closet.,9月4日 00:20  ,陕西
奔跑着,我不相信上帝 但我相信你是我的救世主,9月3日 14:01  ,福建
ㅤ,听爽了,8月25日 10:23  ,天津
,i sleep so i can see her,8月23日 23:59  ,中国台湾
未寻为何,感觉要冲破大气层,8月21日 23:39  ,江苏
Kd＆Jc,来啦,7月31日 17:51  ,浙江
