Username,CommentContent,Time,Location
呱呱,#注入灵魂的欧美歌词# 不容小觑,9月14日 12:36  ,重庆
欧美报刊亭,匠女王新专有点赢很大的意思，她将自己对于60和90年代好莱坞的迷恋，投射进弥漫复古氛围的肖像背景里。契合当下互联网八卦娱乐性质的歌词不仅让听众大呼过瘾，又时刻凸显着一种自信、轻浮又有趣的女性气质。,8月27日 10:38  ,广东
Treyvon,如何区分直男和南通：看他们朋友圈，直男在发黑神话悟空，发Short n' Sweet的是南通。,8月23日 02:39  ,江苏
笨性恋,我娅迷恋现男友的前女友，我匠品尝前男友的现女友，匠娅99,8月23日 01:42  ,未知
🌚,一定要看mv好吗 真的太绝了 15小时美美破千万播放,8月24日 13:46  ,上海
世漫一,Sabrina Carpenter伸手抓住Camila Cabello的腰，Camila Cabello推开她并说：“那Shawn Mendes和我们的粉丝怎么办？他们不会支持我们” Sabrina回应说：“嘘，没关系，我们要对抗全世界” Sabrina taste着Camila的小猫，Camila开始伸吟。 ​,8月31日 01:13  ,广西
直树不植树,taste有点像下一首冠单💋💋 ！！！！,8月23日 00:03  ,广西
铁血尾气,三单好有hit像，我匠真的是跟三有缘！！,8月23日 01:09  ,重庆
Fleabag,你亲过她的脚我吻上你的唇也感受到了她脚皮的味道,8月25日 12:34  ,云南
雪落无声,MV充分表达了一个事实那就是你匠火了（物理）恭喜你匠,8月25日 07:19  ,江苏
笨性恋,mv太艺术了请所有人去看,8月24日 14:00  ,湖北
𝒥ℯ𝓈𝓈𝓈𝓈𝒾𝒸𝒶,支持卡妹回一首，打起来！只有这样才会涌现更多好歌啊（）,8月27日 14:48  ,江苏
Taisny,缠绵的夜晚  02:05🛋 即使是在已经和他分开的日子里当初她和他恋爱的滋味依然浓厚纵使今后有其他人的出现也难以抹去曾有的真切恋情 🫦匠妹新歌美妙流畅得很入耳,8月23日 00:08  ,湖南
霉果味哔哩✨🦋,这个夏天属于匠妹💋🧊,8月23日 10:08  ,重庆
。,歌词和deja vu有异曲同工之处惹,8月23日 21:56  ,北京
Scarlett_,有点像do you get deja vu？（狗头保命）,9月29日 14:54  ,四川
ME💋🌈,you'll just have to taste me,9月29日 13:13  ,河南
但我还爱着你,#这一刻直接封神# 匠妹slayyyy,9月29日 10:51  ,上海
ll6🍓,好好听,9月29日 10:01  ,江苏
古希腊掌管ppt的神,匠taste娅,9月28日 19:19  ,江苏
Milo,每次听这首歌就会想到荒谬搞笑的MV,9月27日 21:26  ,未知
.,好喜欢那个lalalala,9月26日 11:52  ,江苏
