Username,CommentContent,Time,Location
谷底菩提,是不是告诉你门在哪里（请你离开）的意思？,5月4日 01:39  ,广东
时代少年团牌考研思想政治,必胜客的循环播放音乐之一，我就收藏了，多少人跟我一样？,6月7日 22:44  ,山西
perro,这么好听！没有人评论！我的日推太棒了！,5月13日 14:11  ,江苏
玖,每日推荐。我这号算是养成了。超好听,2023年11月28日 07:41  ,广东
明亮晨鑫,这才是优质歌曲🌺🌸🌷💃,2023年12月3日 12:12  ,新疆
TY,忍不住要抖起来,1月24日 09:21  ,安徽
Toni🍜S.L.A.,帮我跟Rag'N'Bone说一声 今天晚上我就先不回去了,2023年11月7日 11:08  ,德国
Sarah咖啡猫,我是第799个收藏的此歌的人,2023年11月24日 15:15  ,浙江
榴莲皮皮虾酱,众爱卿，为何无人,9月28日 17:29  ,河北
四块五的妞🎈,歌词好好笑,9月23日 15:01  ,广东
东孑,肯德基识曲,9月22日 17:35  ,山西
江东渔火,略显简陋的鼓点，配上歌手Teddy Swims这无敌的嗓音，就组成了这首热单。如果还有人不理解他为何爆火，相信这首歌就是答案。个人看来，整首歌曲都只为了展现他那无敌的音色，“男版阿黛尔”真的名不虚传,9月20日 11:28  ,上海
z丶简,每日推荐的今日第一首收藏,9月14日 15:05  ,重庆
T,好听(▰˘◡˘▰)♫,9月8日 21:57  ,上海
璞澜嘉嘿,日推懂我,8月30日 13:41  ,天津
......,有一说一，我愿意为你去死和我愿意为你赴汤蹈火，到底是他英文歌词写得好还是翻译的中文文采好？,8月29日 09:42  ,福建
舟Benjamin亢,莫铭的热泪盈眶,8月26日 10:36  ,北京
__昂°,,8月23日 06:24  ,广东
zola,占个楼好好听,8月20日 16:17  ,江苏
小乖早点睡,,8月18日 14:09  ,安徽
断奏，已成歌,好听,8月17日 23:08  ,黑龙江
天诗,悦耳的声音，愉悦的情绪，洽当，不应是这点评论,8月9日 08:28  ,广东
⛵远洋去哪儿~,㊗这单也火,8月9日 00:50  ,四川
翀,调到最大声开车无敌呀,8月8日 19:19  ,未知
__昂°,真的好听,8月7日 21:35  ,广东
___.吴尛婷,绝了，太好听了，这节奏感，全身都跟着抖动,8月6日 13:10  ,黑龙江
邱万添,格莱美提名者恐怖如斯,7月25日 23:46  ,广东
14twentyone,随音乐摇摆吧,7月16日 21:41  ,福建
釜,,7月14日 01:03  ,内蒙古
㫪,那个上扬的调子好像Her Sweet Kiss啊,7月13日 17:32  ,山东
Alton Yuang,时髦的不得了,7月13日 06:10  ,新加坡
伊,,7月3日 22:28  ,新疆
🌊,难得,7月3日 18:53  ,河南
愣蛋儿,尊重所有故事结尾,7月3日 11:22  ,河南
,要节约用水，所以别一个人洗澡,7月1日 16:54  ,福建
白藏七,,6月30日 20:36  ,黑龙江
相信过程,寅子过来的集合,6月29日 22:00  ,黑龙江
James,好听坏了,6月28日 08:11  ,海南
朕,,6月27日 14:39  ,新疆
以前的包子👼🌟⭐️✨,每日日推全是根据我的喜好推的高质量产品…这号算是养成了,6月27日 08:35  ,四川
Calum Scott,好听,6月21日 08:32  ,重庆
蛾黑泽,泰迪游泳～,6月17日 16:33  ,北京
就是沙漏⏳,欧美辑 O6 409,6月13日 13:56  ,河南
Timing,简直是仙品啊,6月12日 08:57  ,中国澳门
山牙子哟,他的歌都好好听,6月11日 22:40  ,河南
Ruby,上流,6月10日 12:28  ,江苏
