Username,CommentContent,Time,Location
呱呱,#注入灵魂的欧美歌词# 静观其变,9月14日 11:20  ,重庆
欧美报刊亭,#林肯公园重组# 新女主唱和新鼓手加队，Linkin Park正式重组回归！全新纪元开启，续写经典传奇。扫描下方二维码，参与QQ音乐「乐迷勋章活动」即有机会赢林肯公园首尔演唱会门票！,9月6日 14:54  ,广东
MAINLANDER 大陆人,可能21世纪最伟大的另类摇滚乐队，主唱的更换必会引起对比和讨论，但是好的作品就是好的作品，会一如既往经得起时间的考验。开头失真的鼓与低沉的钢琴都非常对味，整曲元素丰富，动静结合，非常耐听。女vocal的chain可能用的和Chester是同一条，即使不是应该也非常接近。作为音乐人，非常欣赏这种可以在作品中打上深刻个人标签的同行，几十年如一日，声音响起，就知道是他。伟大无须多言，回来就好。最后祝愿听到这首歌的朋友们都可以be who you want to be，成为自己想成为的人️,9月6日 11:41  ,北京
法海里的Z,打个不恰当的比方：以前的人要守孝三年，时过境迁后，人们要去面对新的生活。林肯等这一天却等了7年。不能沉浸于痛苦，却又要在痛苦中前行。虽然内心复杂，但还是要向前走！勇于挑战，奋斗上进，我想林肯此举完美诠释了英雄主义,9月6日 09:39  ,山东
Provence.,不是新主唱不行，是查的声音已经深入人心了，他的声音就是乐队的招牌，换谁来都替代不了，所以很多老粉不能接受吧。。。,9月6日 07:50  ,未知
鲁A济南车,玛雅，评论区老保们还是那么多，感觉回到清朝了，怎么不把地下时期demo搬出来说缅怀啊,9月6日 08:12  ,上海
fine,招新主唱的心情  换鼓手的心情,9月6日 07:41  ,安徽
Meteora,等了半个月倒计时正计时，小道消息都说要换女主唱，说实话心里挺担心的，怕变成流行风，怕感觉侮辱了 cc ，但是也觉得大家流出女主唱有道理，因为男主唱会被对比，对谁都不好，女主唱可以从零开始。到了今天凌晨的线上直播演唱会，说实话，我一直觉得林肯就这么封存了也好，不接受新主唱，但是今天看到大麦唱林肯的歌，感觉还是能听到更好。再说女主唱，发现不是流行风，还听了听她的歌，这姐们的嗓音起码契合了林肯一直以来的乐队精神，队标上写着从零开始，他们要从零开始了，我们不妨再观望观望看看，马上新专辑巡演了,9月6日 07:49  ,内蒙古
请勿关注,新主唱声音很硬核，虽然说是小姐姐，但是真的还是很有实力的，和麦子他们配合也不错，但是感觉新鼓手好像略微差了点，和萝卜还是差距有点大。希望全新的LP越做越好,9月6日 09:22  ,重庆
Elijah,#林肯公园重组# From Zero ，从头开始，the hardest part of ending is starting again（waiting for the end），七年了，老查是不朽的传奇，也希望Mike能翻开新的篇章。,9月6日 08:27  ,北京
