Username,CommentContent,Time,Location
HOTTA_,“请不要被大人的利益斗争伤害，也请不要变成庸俗无趣的大人，一直生活在五彩斑斓、晶莹剔透的泡泡童话里吧。希望你们永远保持纯真，也希望你们拥有保护自己的能力。”,5月24日 12:00  ,广西
黑粉,NewJeans把方胖子踩在脚下，能做到吧？,5月24日 12:00  ,安徽
Jade,不管怎么样，韩娱真的不能失去女制作人，女性视角的细腻是那些男人永远不懂的,5月24日 12:00  ,广西
HOTTA_,不知道看了多少遍bubble gum的mv ，我等bubble gum的音源等的要死了,5月24日 12:01  ,广西
小杨不熬夜,感觉这首歌会比how sweet成绩更好,5月24日 12:14  ,湖南
Flower,评论区完全没有控评 都是大家真情实感的话。。好感动。。。,5月24日 12:57  ,安徽
HOTTA_,史上最好听的广告曲诞生 如果说ditto是潮湿的青春 那bubble gum就是海岛的清爽少女情谊！,5月24日 12:00  ,广西
Jade,这次风波反而让我更感受到：我不能离开newjeans，我不能离开女性制作人，我不能离开这几个美好的小女孩和新颖的音乐风格。她们不仅仅是在kpop无代餐，在世界范围内也是很新颖的偶像。她们即使很火很红依然坚持做邻家风格，依然是和我们做朋友的感觉……世界纷纷扰扰，而她们干净纯洁，她们被爱滋养、在爱里面成长，她们自由自在，她们是梦想中的样子💗,5月24日 12:01  ,广西
D.XyZ,new jeans永远都是创造快乐和幸福的存在啊，她们的世界永远是我们心灵的乌托邦，如果大家觉得累了的话，就听一下new jeans的歌吧。,5月24日 12:01  ,河南
马铃薯面包,被总公司高层否决了的出道歌曲 她们望不到头地练习了两年 没有想到这首歌的背后经历了这么多 差点出不了道 在未来并不确切的时候一起一遍又一遍练习着出道曲没想过是这样的反转 不是鲸的狂热分子也只是觉得鲸曲好听每个孩子都很可爱偶尔看看物料什么的 之前真的觉得Newjeans是富养公主和hype嫡女 可在她们蹲在练习室拿着ipad看mv 吹着终于出道的蜡烛 谁又能想到 同公司的另一个女团出道 是一整个公司祝贺的呢newjeans的歌里那种冷核 那种哀伤 明明歌曲mv都很温暖阳光 为什么会有这种颜色呢我现在懂了NewJeans don‘t be blue.,5月24日 12:05  ,浙江
NEW IDENTITY,救命更喜欢这首 好像一群刚刚高考完的青春小孩把书包扔掉，校服脱掉换上短袖短裤，一人手里一杯冰果茶，跑去海滩一起在阳光下玩耍，每个人都被阳光照的格外亮眼，就像他们的未来一样,5月24日 12:16  ,上海
D.XyZ,小鲸鲸是能够唤醒内心深处最柔软最美好的那个独特的存在，她们的音乐是美好的，有共情力的，富有生命力的。请世界好好善待这五个美好的小女孩可以吗？,5月24日 12:00  ,河南
CHICHO,我宣布bubble gum正式与ditto共同成为我心里目前的鲸曲第一,5月24日 12:16  ,江西
除了睡觉干什么都困,终于有正版音源啦 同时也感谢之前提供音源的好兄弟,5月24日 12:05  ,四川
SC.,谁跟我一样，直奔这首！,5月24日 12:02  ,陕西
小蘑菇拯救世界,果然人类世界的青春差别还挺大的,9月29日 22:58  ,安徽
日安,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月29日 22:49  ,北京
AAA爆炸💥 💥 💥 大鲨紫🌻,@淮安 𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆.,9月29日 20:27  ,湖南
AAA爆炸💥 💥 💥 大鲨紫🌻,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月29日 20:25  ,湖南
Wang牙💎,歌是真好听啊！这首一打开就又回到夏天了！,9月29日 20:18  ,辽宁
炼雲,逝去的青春都仿佛在随之摇曳  熠熠生辉,9月29日 16:56  ,广东
DaKol,真的好喜欢bubblegum…,9月29日 00:28  ,广东
🍧,超喜欢前奏,9月28日 22:18  ,广东
Kimminji^ ^,淡斑精华,9月28日 20:47  ,宁夏
我的发,高考前最喜欢的一首歌,9月28日 18:26  ,河北
小李子靖靖,我觉得仔细听能听出来她们音色的不同，也可能是我听了太多她们的歌，辨认出来了，其中hanni和minji最好辨认了,9月28日 14:51  ,广东
夜色﹏苍白,我服了，不混kpop，知道了newjeans之后，去听了她们每首歌，结果发现全听过,9月28日 14:12  ,江苏
ぽかぽか,特别耐听的一首,9月28日 14:08  ,上海
面码椰,这首歌真好听,9月28日 13:43  ,河南
挽尽书,我心里最伟大的广告曲,9月28日 12:58  ,江苏
Ahring,也好喜欢这首歌啊啊啊啊啊,9月28日 08:23  ,广西
腓腓,怎么又开始怀念夏天了？,9月27日 22:19  ,吉林
d***gs,复活曲。,9月27日 22:17  ,云南
看海,kpop不能没有newjeans,9月27日 22:02  ,黑龙江
l,hyein呐～我来找你玩啦～大家都在吗？,9月27日 11:14  ,美国
l,粑粑柑！,9月27日 11:13  ,美国
Yellow Card,加油！newjeans,9月27日 07:30  ,广东
Ichieh,明年夏天也要一起开心过,9月27日 00:59  ,四川
想你会思念成诗,期待心回归虽然不是本命，但是看到自己接生的妹妹们能越来越好也很开心,9月26日 20:46  ,未知
酒囊饭袋,为啥开头空这么久,9月26日 20:26  ,河南
