Username,CommentContent,Time,Location
荏苒🍁,超级好听！！！！希望克拉也礼貌评论，尊重原唱哟！！！day6和seventeen努力的孩子们都走花路吧～～～,6月30日 20:53  ,韩国
霁,从爻妹综艺升key cover视频来了,8月21日 07:57  ,广东
Hanhanhan,不要提名字不要ky，没人想问你从哪里来，来到这请HAPPY的听歌,6月30日 22:12  ,广东
정지초,各位happy melon top100第一位 祝贺,9月14日 18:06  ,湖南
无敌椰椰,谁关心你们欧巴cover不cover了真是,6月30日 21:22  ,福建
JゑM,在元弼跟度云的世界名画里笑了一下午爱上了这首歌,4月15日 19:43  ,广东
没什么特别,硕珉在ins分享了这首歌，马上来听啦！真的好好听！💗,4月18日 09:50  ,广东
今天依旧能睡,虽然但是谢谢爻儿们让我知道这么好听的一首歌,8月23日 18:45  ,山东
dokyeom～,klm我真的会杀了你们，你们是真的恨他，我看出来了,6月30日 23:23  ,江苏
Venia_,一听这首就能想到演唱会上度云：😄元弼：,8月23日 20:48  ,上海
Bungee_,欢快的旋律 emo的歌词 歌名叫happy 行 笑对人生,3月18日 19:30  ,广东
我不是杰尼,前奏那几秒以为跳转到nct了 吓死了,3月18日 17:09  ,陕西
刘昂星,从爻妹过来的，JYP家族爱满满,8月21日 20:09  ,海南
Hajime:3,这是day6的歌！！！想夸自家哥哥的请找对地方好吧，等下全世界都知道你们没家了,7月1日 11:45  ,广东
lllllday_Hannie,冷知识，评论是用来讨论歌曲本身的,4月20日 12:20  ,海南
音乐铃,真好听啊！有时，一个关心的眼神，一次小惊喜，都能让爱情，更加甜美。因为你，我感到快乐。,3月19日 17:44  ,内蒙古
半晚安睡,klm能别来这评论吗这是day6的歌想评论去自己cover下面评论,6月30日 23:47  ,辽宁
りょMchouchou_Lうた,3月的歌竟然在9月冠了 歌内核其实真的很悲的 啊 真的喜欢姜小花写的歌词,9月15日 12:16  ,美国
Dyr,爻妹唱了后才知道的,8月29日 22:12  ,新疆
Allez,歌词完全写出了我现在的心情喜欢,3月18日 17:22  ,广东
phosphophyllite,看了歌词想哭,13:39  ,未知
Kosma,真好听啊,12:02  ,浙江
zzf,"(唱∶‼️)""Congratulations 了不起的你‼️〃",10:40  ,江苏
zzf,【杰伟品2024音源之光】∶DAY6《HAPPY》达成音源Perfect All-Kill  自身第1⃣首PAK歌曲✅ 2024年唯一达成PAK的男艺人歌曲✅ 也是继2013年BuskerBusker后（时隔11年），第一位达成的乐队✅,10:31  ,江苏
ㅤ,happy第一次Pak来留念,10:26  ,陕西
大海真可怕,我说有些人别太恨克拉妹，评论区又不是只有提次的……,00:14  ,湖南
闲听雨落眠🌧️,听到真的要哭了伴奏很happy但是歌词真的很sad,9月29日 21:05  ,天津
落浅雨待明...,好听啊,9月29日 20:27  ,山东
orange,9.29一位啦,9月29日 19:35  ,江苏
June143,恭喜happy宝！！！！一位粗卡,9月29日 18:24  ,广东
超绝瓶家硫丝,HAPPY初一位啦！！！,9月29日 16:01  ,广东
pilimilini,人歌一位👑HAPPY登基,9月29日 15:45  ,广东
Tempest.,一位粗卡！,9月29日 15:45  ,四川
Betsy,不愧是瓜榜一的歌，现场版生命力绝了,9月29日 12:16  ,江苏
Dalia,年少不知乐队好，最近从新飞到the rose再到day6，good good,9月29日 10:04  ,阿根廷
Miho,好厉害的歌，听了感觉活过来了！,9月28日 19:48  ,四川
ikhiiofl,好好听啊！,9月28日 07:01  ,匈牙利
花花,恭喜日冠！,9月28日 04:22  ,广东
一拳小邦＞＜,社畜之歌。。。。。。我一定要提离职,9月27日 19:47  ,四川
