Username,CommentContent,Time,Location
D.XyZ,鲸：感动不？五常里面就我还是免费的欧尼🥹,5月24日 12:00  ,河南
닉네임 입력,newjeans不会被任何人踩在脚下！！！！！,5月24日 12:00  ,天津
Jade,这次风波反而让我更感受到：我不能离开newjeans，我不能离开女性制作人，我不能离开这几个美好的小女孩和新颖的音乐风格。她们不仅仅是在kpop无代餐，在世界范围内也是很新颖的偶像。她们即使很火很红依然坚持做邻家风格，依然是和我们做朋友的感觉……世界纷纷扰扰，而她们干净纯洁，她们被爱滋养、在爱里面成长，她们自由自在，她们是梦想中的样子💗,5月24日 12:00  ,广西
黑粉,NewJeans把方胖子踩在脚下，能做到吧？,5月24日 12:00  ,安徽
D.XyZ,newjeans：n.吴晓梅 adj.青春的的；充满生命力的；不可复制的。,5月24日 12:00  ,河南
D.XyZ,仿佛全世界都在等待小鲸鲸的到来！！！激动的心颤抖的手，开个尖叫楼啊啊啊啊啊啊啊啊啊！不管外界怎样喧嚣，你们都要一直火下去,5月24日 12:00  ,河南
脆薯饼,Danielle尖叫楼！！！！！！,5月24日 12:00  ,河南
Yurr,没人觉得njs这个团细思极恐吗。。一定要严查njs这个团！一定要在本周五中午十二点去听她们的新歌how sweet。。天呐我在打how sweet手都在抖。。兄弟们别忘了下午三点还有MV公布，一定要严查她们团！千万不要放过njs！,5月24日 12:00  ,江苏
Wonattractaro_,啊啊啊啊啊啊姜海粼做得好！！,5月24日 12:00  ,江苏
牟智慧的门牙,真的无语，有些人的嘴巴怎么那么欠，把你当朋友才把这件事告诉你，结果你一转头就告诉了别人了？现在好了，全世界都知道newjeans5.24回归了，中午12点发音源，下午3点发mv，你满意了？,5月24日 12:01  ,湖南
祯元,【真金白银五团一newjeans🔝】mini2辑^Get up^打破⚠️kpop女艺人首日首销售额💘melon专辑点赞突破5⃣万包揽女团前3⃣打破K-POP艺人专辑最快全专歌曲流媒破亿记录🔥成为五代团体拥有❗️最多❗️破亿流媒歌曲团体🎵*五团一总是轻松秒杀同代*,5月24日 12:00  ,四川
东坡,五团一驾到统统闪开！！！五团一驾到统统闪开！！！五团一驾到统统闪开！！！五团一驾到统统闪开！！！五团一驾到统统闪开！！！五团一驾到统统闪开！！！五团一驾到统统闪开！！！五团一驾到统统闪开！！！,5月24日 12:00  ,北京
QQ音乐巅峰榜,恭喜@NewJeans (뉴진스) 《How Sweet》拿下巅峰潮流榜、飙升榜、流行指数榜冠军，巅峰潮流榜连冠三天，并入围「巅峰乐荐官」板块。歌曲距离成为巅峰人气单曲、解锁更多资源奖励差你一票助力！🔻助力方式：APP内搜索“巅峰榜”打开Vol.35栏目页面，点击导航栏“乐荐官”直达，点击助力按钮即可助力~🔻活动截止时间：6.28 23:59:59,6月25日 13:08  ,广东
demonsitstru_👿,感动不 这次时长3分多钟 音乐本身发挥正常 让我们感谢250老师,5月24日 12:08  ,广东
D.XyZ,《此鲸曲已列为618淡斑精华榜一》,5月24日 12:01  ,河南
Lu,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,15:44  ,江苏
Joewithoutarmor,后劲好足,9月29日 21:19  ,湖南
Elaine,表白被拒了，挺小鲸鲸的歌瞬间好了很多,9月29日 20:49  ,德国
接ACCEPT大接特接,鲸的歌永远是越听越好听,9月29日 20:05  ,广东
主神$¥,方胖子滚行不行啊放过小女孩们吧,9月29日 19:53  ,黑龙江
Departures,神,9月29日 17:29  ,重庆
546,挺好的,9月29日 06:34  ,贵州
𝙺𝚒𝚝𝚝𝚢𝚣.,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月28日 19:06  ,江西
kiyo,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月28日 17:06  ,辽宁
郑小喵,newjeans never die.,9月28日 09:06  ,上海
小炮,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月28日 08:53  ,福建
Mine,newjeans never die!,9月28日 08:53  ,广东
top鲸,小鲸鲸把世界踩在脚下行吗，别在伤害五个小女孩了,9月28日 00:46  ,河北
鸽子般的尤迪特,心情不好买了7本,9月27日 20:23  ,河北
枳夏,啊啊啊是真的好听 每次一听就感觉回到了燥热活力的夏天一股微风吹过的感觉,9月27日 19:53  ,广东
Bobby,好带感！,9月27日 15:17  ,江苏
Lam Lam,次次听都觉得这是我最爱的鲸曲！,9月27日 10:44  ,广东
王笑笑,newjeans  never  die！！！,9月26日 21:53  ,河南
爆炸墨鱼,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月26日 14:12  ,重庆
兔兔猫,最爱小鲸了,9月26日 13:15  ,四川
塑料碗猫盆,Newjeans Never Die！,9月26日 07:11  ,上海
ᝰ,泰豪庭了newjeans🍀,9月25日 19:52  ,福建
兔兔猫,这首歌听起来很轻松,9月25日 12:20  ,四川
Xdcc,专辑封面中间这个短发是谁啊我新粉,9月24日 14:55  ,湖北
传奇黑教练然竣,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月23日 23:29  ,湖北
♡ mikoy💙🦋,好好好好特别,9月23日 23:06  ,江苏
親親小貓,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月23日 20:30  ,广东
Sᴵᴿᴱᴺ,结尾那句我永远爱死,9月23日 18:03  ,北京
冉露_,听到1:37感觉这是首好长的歌 重复的太多了可能 如果全曲就两分多可能听感会好一点🕐🕐⭕⭕冉露姐姐写评论总是无处不在,9月23日 17:59  ,重庆
ㅤ,这才是真正的音乐,9月23日 17:55  ,天津
cookie,吴晓梅 补药再见,9月23日 16:51  ,河北
我猫海粼,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月23日 08:14  ,湖南
羽.,Newjeans never die,9月22日 22:52  ,浙江
i  t,𝑵𝒆𝒘𝑱𝒆𝒂𝒏𝒔 𝑵𝒆𝒗𝒆𝒓 𝑫𝒊𝒆,9月22日 22:26  ,湖北
芋圆煎妮饺抄咸蛋肉丝＾🥟🥚,就这个牛腱子爽啊啊啊啊,9月22日 20:06  ,上海
炸毛呆貓！,嚎听,9月22日 18:26  ,重庆
Antler.,03:28,9月22日 16:06  ,广东
