Username,CommentContent,Time,Location
ILLIT,오늘 처음으로 여러분과 함께 댓글 이벤트를 진행해서 SUPER REAL 开心 感谢大家的支持 也请多多期待ILLIT接下去的活动哟,4月3日 20:37  ,韩国
擅长跑路,女性就应该更敏感点啊，而且也没人骂本人吧，说的都是策划和制作,4月4日 23:02  ,湖南
星星,不相信编曲有问题的人自己去找和声与编曲细节视频看吧，仔细思考下mv细节，如果概念是魔法少女为什么唯一沾边的是moka的空间静止，大部分时间都是贴身睡衣、纯白裙子、白袜子、酒店、封闭空间、枕头、在床上滚动，朋友们，如果让你想象魔法少女你会想到这些场景吗？观众和听众肯定不会第一时间get到，但是你想想制作歌曲和mv的人是有很清晰目的和对作品的了解的，它不会做很模糊的东西的，就跟电影的简单空镜头也有含义是一样的啊，真的细思极恐啊。几个妹妹特别讨喜，但是如果这个背后目的是真的，那不是送她们火，是送他们进火坑啊。当然人有自己的理解，但是你去听听纯编曲细节后真的还难相信这个视频无辜吗,4月4日 23:05  ,浙江
HOTTA_,ILLIT歌曲MagneticMV制作充满满满的xing暗示：摇bed声，铁链锁住人的声音，快门，投金币，异化的bae和yi ki mo chi发音，刻意做幼的声线，多处暗示幼女求欢和sex后新世界的歌词，这还都是不看mv光听歌的问题（不针对成员），真的听的毛骨悚然，摇bed过后好像还有很短一声喘息声，而且还在一个V里面，这么多元素结合在一起，真的大有问题，越想越恐怖。别再说什么独立思考不独立思考了，这种东西本来就是暗示，能被点出来大家才能发现，你感觉没什么不对可能确实是真不懂这些代表什么吧，大家也多去了解下这个世界的黑暗面好吗宝宝们，现在每次看到副歌舞蹈就觉得很怪,4月5日 16:11  ,广西
敐,根本没人因为MV骂五个小女孩，我们骂的是背后的制作团队，什么意思不用多说了,4月5日 10:42  ,广西
Traumtänzer,1分15有链子声，1分51有快门声，2分05是摇床声…女孩们都很好 这制作人真的是亖了,4月5日 00:40  ,陕西
Q音辅导员,为了更好的与粉丝们互动，ILLIT将于【4月3日20:00-20:30】以分为两组的形式进行空降评论区的活动，【20:00-20:15】1组 (YUNAH / MINJU / MOKA) 【20:15-20:30】2组 (WONHEE / IROHA)，快来占前排等待大牌空降吧~,4月2日 16:33  ,北京
/•᷅•᷄\୭,放出来的预告居然就已经是最好听的部分了,3月25日 17:03  ,江苏
祯气小猫,没事每次大家说歌淡淡的最后都火了,3月25日 17:13  ,江苏
米苏ღ.,非常的日式蒸汽波，感觉像是阳光明媚的下午呆在粉色的房间用音箱播放的质感，沙沙的很舒服,3月25日 17:00  ,广东
境萌萌萌花,开个moka尖叫楼 啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊啊出道大发吧moka！,3月25日 17:03  ,四川
OXO,感觉和想象中不太一样唉，听预告以为是比较梦幻唯美的那种，但是全曲还是比较青春活力的那种，但是还是好好听，感觉音源应该挺好的,3月25日 17:01  ,福建
夢野縁🅴,副歌歌词里有bae和dash 让我们爻蹭了一把(,3月25日 17:24  ,吉林
今今,🍃I'LL-IT唯一官方门面&主唱top 【朴敏珠𝐌𝐢𝐧𝐣𝐮】🍃实力𝐀𝐂𝐄级主唱音色天才🦋唯一官方认证【门面】🌸全球五次投票综合队内第一🌟队内唯1️⃣从未掉出出道组🌟直拍、i̋g̋、推̋📊多次第一🌟露脸最少但吸粉率最高的【真 🆃🅾🅿𝐌𝐢𝐧𝐣𝐮】 出道快乐！,3月25日 17:01  ,河南
Ben_07,背景音好多小音效，像游戏闯关一样，每一段副歌都像进入一个新的空间，加上妹妹们的音色，古灵精怪的感觉，前奏就很惊艳，听多了也不会腻,3月25日 18:28  ,广东
Rrr,怎么讲呢……HYBE有钱，注水一定注的……五个女孩张的也不报看，他们要是火了，就是资本的力量！,3月25日 17:33  ,浙江
QQ音乐巅峰榜,恭喜ILLIT《Magnetic》入围#QQ音乐巅峰榜#专栏「巅峰榜大小事」VOL.32「巅峰乐鉴官」助力板块。歌曲距离解锁更多资源奖励差你的一票助力！🔻助力方式：APP内搜索“巅峰大小事”打开栏目页面（点击导航栏“乐荐官”可直达），点击助力按钮即可助力歌曲成为巅峰人气单曲~🔻活动截止时间：4.29 23:59:59,4月24日 15:06  ,广东
o,有些人别闭着眼睛追星了 这首歌的采样真的很恶心很下流 同为女性你们为什么要为上层楠人的癖好买单 大家团结一点为妹妹争取正常的概念不好吗。。。,4月5日 03:49  ,四川
聽.,这下真的要成了hybe pop了,3月25日 19:13  ,山西
Hope and legacy,有点预告即精华的意思，稍微有点没达到预期，但是整首歌还是好听的,3月25日 17:14  ,北京
D.XyZ,开一个真实评价的路人楼！,3月25日 17:00  ,河南
两颗西柚,期待回归,13:08  ,广东
旼旼炡,福冈萌神境萌花,12:42  ,江苏
小川龙岚,UUUUUUUU super诶亏,11:09  ,浙江
Win^cookie🥥,啊啊啊啊啊啊啊啊礼宝,09:53  ,浙江
地球非常不错...,五位甜宝宝,05:12  ,英国
.,骂过礼妹的拱出去不准听哈~,9月29日 23:24  ,广东
,起猛了，搜Kpop没有magnetic了,9月29日 22:33  ,广东
Charles🍀,sinny,9月29日 21:51  ,上海
醋溜小真,快回归吧宝宝们,9月29日 20:14  ,河北
珉_冬,好听爱听,9月29日 20:10  ,江苏
伤心鱼头,不得不说这就是今年到现在最好听的歌呀,9月29日 19:49  ,江苏
iove,真的很喜欢沅禧宝宝a！！,9月29日 16:56  ,山东
一露,就是好听！小礼礼萌,9月29日 15:24  ,江苏
一杯雾.,这首好好听,9月29日 15:04  ,上海
昭妤頌,期待回归,9月29日 13:36  ,浙江
tokuno^,对呀对呀就是好听,9月29日 13:17  ,江西
tokuno^,燥候,9月29日 13:16  ,江西
最爱油炸,期待小礼礼的回归！！minju和moka我爱你们,9月29日 08:04  ,河南
enyu4,燥候十月回归！！,9月29日 00:36  ,山东
白袜男大,一天不uuuu就难受,9月28日 23:13  ,河北
拉面公主,燥侯五萌妹,9月28日 19:29  ,辽宁
^小狗芝麻糊°,真的挺好听的,9月28日 19:13  ,山东
SunsetKun_葵芊芊,真的好好听啊啊啊,9月28日 18:43  ,福建
15岁男生给我滚！！！！！！！,我带耳机听了，好像确实有奇怪的声音，细思极恐啊,9月28日 17:54  ,上海
ʚ珉炡重度依赖ɞ｜补顶,illit一定会大爆的！对吧🥹,9月28日 15:11  ,上海
