Username,CommentContent,Time,Location
三角猫（mYrtl3V）,吴晓梅尖叫楼！鲸妹回归大发！🌸日式运动风的吴晓梅也太抓人了！这次歌曲一改之前的JerseyClub元素，而是采用New Jack Swing风格，结合80年代日本动漫镜头和村上隆联名，打造出一个复古的霓虹世界。hiphop编舞干净利索，律动感强烈，展现出吴晓梅对各种风格的完全消化能力，这次完全是五个帅气妹妹！！我作为一个音乐制作人，也一直感叹鲸妹制作人团队的强大，每次都能在完全发挥妹妹们音色优势的基础上，给大家带来新鲜的听感，太牛了！！期待宝宝们这次也有超好的成绩！✨,6月21日 12:54  ,北京
HOTTA_,鲸:没想到吧，我还是免费的欧尼,6月21日 12:00  ,广西
fork（nm没给爷备注,这编曲还有人说淡多听点整首乱七八糟的高音和锅碗瓢盆落一地的音效就老实了,6月21日 12:01  ,四川
Blakah.,满脑子都是 兜风 霓虹 电台声 像素风ADOR进军日本的重视程度应该是韩团日单里的天花板了~new jack swing 配上日文歌词又回到了小时候 看电视 追日漫迎着落日 听着片尾曲的感觉真的好快乐没想到2024年还能感受得到果然teenage时期的流行乐=以后老年的乡愁,6月21日 12:00  ,广东
HOTTA_,开个minji尖叫楼，太好听了，minji参与作词,6月21日 12:00  ,广西
D.XyZ,How Sweet：仙曲！Supernatural：仙曲中的仙曲！,6月21日 12:00  ,河南
我对素质过敏,常年听newjeans的人都目光炯炯有神，非常自信，且智商逐年上升，最后完全成为天才。听newjeans会改造身体结构，预防各种不治之症。人一旦开始听newjeans就说明这个人的智慧品行样貌通通都是上等，这辈子都能在任何地方风姿飒爽。逃避特具有强烈的社会正义感，对治安稳定有巨大的贡献，保护普通人的生命,6月21日 12:00  ,浙江
脆薯饼,Danielle女神做得好！！！！！开个Danielle尖叫楼！！！！！！！！啊啊啊,6月21日 12:00  ,河南
HOTTA_,从出道专的electro pop到omg era开始玩碎拍baltimore club，然后jersey club，最近一张单曲更是类citypop和Miami bass两种截然不同的风格，日单又是new jack swing。这里面有多少kpop前几位使用的曲风，发布后又有多少团跟着用，别装瞎看不到。一直重复着淡淡的、疲惫了、无聊了的人，别操心没有发生的事情，选个音乐素养选修和找chatgpt润色一下贫瘠的人云亦云的表达能力才是最重要的，我真诚地像你关心鲸什么时候转型一样关心着你的发展进步。,6月21日 12:00  ,广西
Bruce W,我是鲸粉，我先说。今年是我鲸劫难的一年。鲸是曲风多变的，虽说人声没有大高音，也没用很多强rap，但很悦耳。希望大家多多关照我鲸。她们只是一群小女孩，可能有不成熟的地方，但那份纯真是很多像我们25岁以上的粉丝没有的。喜欢她们可能是一种愿望寄托，内心的寄托。没希望过鲸登不登顶，好好地在我的眼前就好。,6月21日 12:04  ,新加坡
HOTTA_,不是你们懂不懂这种cool里带着挥之不去的忧郁、怀恋的复杂感觉 njs音乐性真的超乎人想象 从一开始就是,6月21日 12:00  ,广西
Wennie11,NewJeans来了！少年感美神大姐Minji可爱反差感面包Hanni✊混血甜心澳洲公主Dainelle🫶灵气高冷猫咪之王Haerin️亚比美式姐感忙内Hyein🫰,6月21日 12:08  ,浙江
