Username,CommentContent,Time,Location
蒲公英,蛐蛐音乐我就算憋半年也不花一分钱,7月31日 11:07  ,福建
(G)I-DLE 然.,永知：哎你们(G)I-DLE的TOMBOY是不是年榜第一啊？小娟：是第二啊⋯ 永知：那年榜第一是谁啊？小娟：LOVEDIVE⋯ 我还记得你的Challenge播放量破千了永知：os：当我没问⋯,7月12日 11:56  ,黑龙江
Miyane,目前真的是kpop历史上成绩最好的非主打了 g榜已经大概率年冠了 就差melon了 希望有能力的奶啵啵能去超话一起帮忙 创造历史也让娃不留遗憾,8月1日 20:24  ,广西
璟.,都6月末了为什么我还听不了免费的fate？？？是我出bug了吗？？？？？,6月22日 12:48  ,黑龙江
Luv_svt💕,女娃靠一首收录曲进入年冠之争,6月5日 15:18  ,江苏
苏北.,最喜欢这首，好动漫的感觉，田小娟我爱你,1月29日 17:05  ,云南
Jade,为什么每次娃出歌就有人想方设法黑抄袭，从mv画面到节奏到动作，因为娃最闪闪发亮的就是创造力啊！,1月29日 17:01  ,广西
Ooo,好有日语歌的感觉(形容不来有没有人来懂一下),1月29日 17:26  ,江西
HOTTA_,稍微了解一点女娃的都会知道这一路走过来都经历了什么。非​三大出​生，队长呆在房间里三天哭着写完出道曲才允许出道，就连logo都是自己设计。从最开始的不被看好，到一线成绩，女娃永远在创造奇迹。为什么我这么相信娃呢，因为gidle靠的从来不是公司，不是营销，甚至不是粉丝，而是自己。​,1月29日 17:17  ,广西
吧唧🐶,第二段开头那个rap是刷吗 好可爱的宝宝哈哈哈哈,1月29日 17:23  ,贵州
野草 呐喊,娟说这是自己按照主打曲来写的，灵感来源就是日漫...然后公司又换了主打，连着两次都换了主打说明Cube现在真的只希望概念强烈的洗脑曲做主打...,1月31日 20:28  ,山西
YuY_dom,叶舒华声音一出来皮都展开了,1月29日 17:17  ,重庆
山鬼,我靠这首好适合做手书谁懂…特别动漫感的歌哈哈哈 风格也非常有意思,1月29日 18:15  ,浙江
还行,我直接化身热血少年漫主角,1月29日 17:03  ,内蒙古
丁逸菲,今天！我们相聚在这里！是为了庆祝我们fate宝Melon榜top1，历经47天，从580逆袭到1位，这是历史性的时刻！是娃国历史上浓墨重彩的一笔！是一路逆行、逆流而上的胜利！是与机器人战斗并最终大败机器人的胜利！是抗洪成功、水来土掩的典范！是瓜榜改版来收听破30w的唯一女团曲！是瓜榜改版来收听破30w的唯一收录曲！,3月18日 15:57  ,山东
米苏ღ.,gidle唯一真Top宋雨琦尖叫楼啊啊啊啊,1月29日 17:01  ,湖南
蒂王,全昭妍真是很会写啊啊啊 古希腊掌管作词编曲的女王,1月29日 17:25  ,浙江
Michael.ca,个人认为最好听的一首！！,1月29日 17:11  ,湖北
兔,好日漫啊啊啊啊啊 二棒狂喜了,1月29日 17:20  ,湖北
wu-gigi🫶🏻,fate宝好争气从500爬到前10了,3月2日 21:23  ,湖北
小狗帕恰,终于免费了啊啊,16:13  ,天津
耶耶耶,#女娃的百变风格歌曲有哪些# 冲年冠！！！！加油加油加油！！！！,08:10  ,未知
弓米弓(顺风顺水顺财神),竟然跑到第一了！！,9月29日 07:53  ,广东
桃子🍑,这首有点日漫主题曲的感觉！有点柔和版幻界战线的感觉,9月28日 22:37  ,福建
My.,究竟谁才是SuperLady,9月28日 18:41  ,吉林
可乐加冰。。,真好听不亏是我家小娃娃,9月28日 17:16  ,辽宁
限流了别喷,第一次听这种歌，真的好好听😄,9月28日 16:36  ,湖南
生米煮胡萝卜,开个娃尖叫楼！,9月28日 06:31  ,加拿大
aaaaa.y,学校 放学放这首歌,9月27日 23:51  ,广东
。,真的听不腻,9月27日 22:13  ,江苏
Smile精灵,大家多多点点赞，坚持把fate给拿上年冠,9月27日 17:30  ,浙江
壞ㄝ圭ㄝ圭,勾石,9月26日 17:49  ,北京
I4K碎天星🌹,有种日本动漫的感觉,9月26日 16:45  ,云南
九镑十五便士,加油啊 fate！！！！别忘了你是大女主,9月26日 16:45  ,浙江
✨,只要我活的久就能蹭到免费的,9月26日 11:36  ,新疆
就喜欢曲琦,好听,9月25日 18:49  ,河南
喂,超好听,9月25日 09:06  ,江西
法耶不会飞,加油加油加油,9月25日 00:48  ,河南
半颗覆盆子冰淇淋球,年歌的有力竞争选手 今年好作品还挺多的 你娃稳定输出,9月24日 23:18  ,湖北
吃土豆长大的马铃薯,啊啊啊啊,9月24日 19:20  ,福建
就是爱音乐,经济数据和轮滑连体崔录进去十几年了,9月24日 18:00  ,四川
lalalaland_,伴奏贝斯存在感好强！带耳机完全爽,9月24日 12:49  ,未知
TIAMO.,加油啊，不想让吐司拿年冠……,9月23日 13:17  ,湖北
盛夏,大家努力切瓜刷吐司，不要放过这个洼,9月23日 07:33  ,湖南
嘟嘟嘟＾ν＾,好久没在kpop听到这样的歌了,9月22日 16:43  ,江西
