Username,CommentContent,Time,Location
923,这剧开局还没十分钟就骗我眼泪,4月9日 13:58  ,江西
请输入搜索词,原本是游泳选手的他，却在泳池里放弃了自己的生命，救赎本身也需要被救赎…,4月9日 13:48  ,内蒙古
i7toy,“谢谢你还活着。就算是这样活着，你身边的人也很感恩。所以今天就试着活下去吧！因为天气太好了，听说明天会下雨，那就一边等着雨停，接着试着活下去吧！这样下去，总会有一天，你可能会觉得活着还不错”,4月10日 12:44  ,浙江
玉面小飞龙💦,他当歌手，是因为女主当时喜欢乐队的男二他喜欢糖果，是因为女主给过他的那款他电话连线粉丝，是特意打的电话鼓励她2009年出车祸是他救的她，她穿回2008年差点出车祸也是他救的她，她为他撑伞一次，他就想成为她的伞，他的一切都与她有关，男主我真的哭死,4月11日 19:31  ,内蒙古
尹净汉堡王,天杀的边佑锡怎么唱歌也这么好听,4月12日 11:14  ,江西
🤿,看完第二集结尾的我是世界上最孤独的人竟然给我整双向暗念啊啊啊啊啊啊天杀的,4月10日 00:19  ,安徽
Rainbow,天啊，男主看到自己少年暗恋的人怎么舍得自杀呢，肯定有其他原因的吧,4月9日 23:49  ,广东
笨鸟,追星女疯狂代入，不求在一起，只是希望他能好好照顾自己，要开心,4月9日 19:48  ,重庆
与夏,“你的出现，是我的救赎”这剧也太好看了吧,4月10日 12:46  ,广东
Venus,女主好开朗啊 好喜欢她的性格 太甜了谁懂,4月10日 18:12  ,新疆
ChanBaek,看完第二集  这不会是男主写给女主的暗恋歌吧 我哭 原来是你这么早就喜欢上了!,4月10日 00:02  ,河南
whiffet,纯爱战士应声倒地,4月13日 15:37  ,海南
16🌱54,进飙升榜了，Eclipse 你现在是真的火了，平时一定要注意自己的言行举止，不要让人以为你是个多坏的组合。 你不知道有多少眼睛盯着你看着你出错，我知道你是很真性情的乐队，也希望你能保持这份直率，但你更要严格要求自己，谨言慎行，起到乐队的表率作用，这样才能走得更远。,4月12日 17:19  ,湖南
”,刷到这段话 我真的要碎了,5月29日 01:41  ,广东
11,我弄丢的究竟是记忆 还是你,4月17日 22:00  ,吉林
不要乱倒垃圾,善宰啊 重庆今天下雨了 你跟小率也要继续幸福下去啊,15:22  ,重庆
sunshine,走不出阵雨了,12:58  ,江苏
σ,你知道我最讨厌什么吗？就是下雨在泳池泡了一整天出来如果外面还湿漉漉地下着雨 我就会很烦躁可是第一次遇见你的那天在下雨讨厌了一辈子的事 怎么会瞬间就会喜欢上呢那天我却很开心我以为就只有那天不一样而已但并不是  我现在也不讨厌以后好像也不会讨厌  不管是雨 还是你小率 我…非常喜欢你,10:02  ,江苏
小花.,听到这首歌就想哭,09:06  ,湖南
