Username,CommentContent,Time,Location
🦴,窝努谢谢你让我发现了好歌,7月25日 21:23  ,湖北
ZOe  Two,现在这种4分多钟的好歌曲，在新时代的kpop届，已经绝种了,4月4日 08:05  ,四川
喜欢吃水果,把评论区还给创作者和演唱者们，或者关注歌曲本身的优点，没有人在意你从哪里来,8月2日 04:22  ,四川
买袋子,明明马上就要进内环了的…没有那些扰乱生态的水货就好了…,4月4日 22:49  ,广东
Joasy.,谁在意你们从哪儿来的 好怪,8月11日 16:27  ,广东
reddd,评论全是各家爱豆其实呆六是很多爱豆的爱豆,2020年8月17日 22:57,暂无数据
Arabesque.,韩国人有自己的《我怀念的》…,3月30日 13:42  ,重庆
养只狗帮洗碗,day6最近发生什么了老歌怎么都上榜了………,2月12日 13:24  ,江西
suga🍰,听了plave的cover来的，发现原版真的好好听，cover无法超越的魅力，感觉好温柔，好喜欢,2023年11月12日 17:38  ,广东
閏伍,数叔叔们今天物料又唱了这首歌kkk day6什么时候大火啊啊啊啊啊,2023年6月1日 21:47  ,天津
Time_reversal,#段宜恩出演丛林的法则#这两天单曲循环这首歌，为啥会自行脑补团团的yeah，TA，come on日常想念段宜恩,2017年4月3日 08:47,暂无数据
dududu,真的超级好听了这首歌。成员们的创作能力也超级棒啊啊啊！可惜韩国乐队要大火比较难吧。希望呆六以后越来越好！🙌,2018年3月2日 21:53,暂无数据
masquerade,没人关心你是谁给你安利来的好吗,2021年4月12日 19:44,暂无数据
579,1073天的奇迹，逆行冲冲冲！！！耶波索真的配得上！！在欧巡的你们第一时间看到了瓜上榜很开心吧，不用感谢 因为Day6值得啊～小乐队一定会越来越好的,2020年1月14日 01:34,暂无数据
w x s m sh s,翻译错了啊，开头是说：现在说这些话，并不是想让我们重新开始,2020年11月13日 19:23,暂无数据
溶溶溶,任谁cover都无法超越原唱的魅力这就是DAY6,2023年7月2日 16:50  ,北京
时渡.,jyp真的藏了好多宝藏男团啊，能不能好好运营,2022年11月11日 16:15  ,天津
J K X,请克拉们不要刷day6无关 请珍惜推荐的心意 好好欣赏歌曲,2020年3月22日 13:20,暂无数据
自由我自为之,三年了，恭喜我们呆六今天音源逆袭啦今天凌晨1点melon榜单实时52位，  辛苦啦，可恨韩国小聋瞎一直不识货啊，我们每首歌都好听的呆六啊，2020-定要大发啊!🙏🙏🙏,2020年1月14日 14:31,暂无数据
SamJiu,还记得当年的第一季wink眼 戴着大的黑框眼镜 抱着吉他 唱着butterfly 的少年 朴再兴,2017年4月10日 00:58,暂无数据
wg,kym你还要这样么招黑。就连克拉都跟着一起蒙羞,9月27日 18:39  ,未知
小生2004,日榜回到第十啦！呆六前十占五～,9月25日 13:05  ,广东
派妮酱,评论区不能看了 笑了,9月25日 09:12  ,上海
椰子芒果糯米饭,发现了好歌,9月24日 21:00  ,江苏
六,太好听了,9月24日 13:40  ,海南
六,演唱会入坑,9月24日 13:40  ,海南
六,超级好听,9月24日 13:40  ,海南
Lshuqi,day6终于火了，没有烂歌,9月21日 22:58  ,广东
真新镇村长,太好听啦,9月21日 18:43  ,未知
🐰👑,我天，Day 6的歌都这么好听的吗,9月21日 09:24  ,贵州
㊲,6国国歌了属于是,9月21日 08:13  ,广西
♾️,我去，路人表示6的歌怎么每首都听过，好耳熟啊,9月19日 23:08  ,重庆
