Username,CommentContent,Time,Location
Groundless talk,现在这首歌延边当地ktv 年轻人爱唱榜首第一,6月3日 14:38  ,吉林
NDMALUY,好好好 祝比兔比每一位都成为拥有好作品的本质歌手/演员！,4月2日 16:05  ,福建
燮燮有你,不愧是我粉了五年的李昌燮，一开口就把我代入歌曲之中，那种爱情的悲切感太强了哥，难怪molen榜能抗洪成功,4月30日 17:38  ,山东
MayZz,哇 我桃竟然还在啊🤲泡菜妹原来这么爱,5月26日 20:15  ,吉林
刘硬炮,好久没看我们BTOB没想到桃子已经这么牛了，没想到居然在女团大战里进瓜榜前十了好厉害,6月26日 23:49  ,广东
早已-、,日榜前十唯一能听的男声,3月27日 16:15  ,辽宁
诺娃宝宝👶🏻,"听完了这首歌 虽然不是大众爱的风格...但李昌燮是大主唱吧？觉得声线是老式抒情路线 不过挺动人心魄的 后半段侃侃而来像怀念和分开一样的画面感 能升到一环线 应该和tyjj的OST""梦""一样 绝对的潜力股... 🏻",3月15日 22:43  ,广东
_深蓝Vintage,封面真的太像两个女生了,3月30日 16:15  ,四川
하나,你的声音似乎可以穿透一切，穿越一切。사랑해요.,2月21日 17:31  ,湖北
李昌燮的凑傻柴,马上瓜榜内环了看到我家昌索比在南韩这么火我就放心了,3月21日 09:25  ,广东
Nandy爱黎深,先看的漫画，没想到我们漫画里的狐狸还有主题曲这首歌真的太贴切了,9月27日 20:14  ,河北
一颗老人头,李弘基ins来的～,9月27日 07:48  ,广东
大力bippowrr,李洪基那边过来的,9月21日 00:14  ,吉林
🥳,这首真的很适合ktv热唱,8月30日 19:06  ,广东
芽芽,看过漫画的震惊，竟然有歌,8月18日 18:29  ,广西
芽芽,啊哈封面！狐狸！,8月18日 18:29  ,广西
G O,111,8月16日 08:26  ,北京
悚负,情感表达太牛了！！！,7月18日 21:01  ,山东
晴子,没看过动画，但是好有画面感。,7月7日 20:15  ,广东
_贝贝侠,昌索比棒！！！,6月29日 14:59  ,山东
刘硬炮,好久没看我们BTOB没想到桃子已经这么牛了，没想到居然在女团大战里进瓜榜前十了好厉害,6月26日 23:49  ,广东
℡ ⒊嵗半,好听,6月16日 20:09  ,上海
燕子🍒,我竟然是听到破音视频来了！爱了,6月13日 10:55  ,湖南
🌱,이 노래 듣기 좋더라!!!!‘,6月13日 02:45  ,韩国
ㅎㅇ,这小子这次这么好听？,6月13日 01:33  ,广东
Helina,李昌燮啊,6月10日 10:49  ,上海
Nandy爱黎深,狐狸真的太帅了！！！！,6月6日 00:49  ,福建
Groundless talk,现在这首歌延边当地ktv 年轻人爱唱榜首第一,6月3日 14:38  ,吉林
CㅇR,好听呀,6月3日 03:02  ,中国澳门
食百卡spica（,神了,5月29日 21:39  ,天津
MayZz,哇 我桃竟然还在啊🤲泡菜妹原来这么爱,5月26日 20:15  ,吉林
知珉降临我心,看封面还以为是gl,5月21日 10:19  ,浙江
_土豆是魔术师_,真好听,5月20日 14:01  ,四川
_土豆是魔术师_,阿昌好棒，排名又在前面耶,5月20日 14:01  ,四川
-.-,前奏好好听,5月10日 20:22  ,重庆
-.-,好听,5月10日 20:21  ,重庆
❣️,( ﹡ˆoˆ﹡ ),5月7日 12:52  ,江苏
GOOD Hao,这声压 给我狠狠唱,5月6日 22:42  ,江苏
V小姐连环幸运事件.,专门下了蛐蛐音乐来听李昌。。。老师你好牛,5月1日 17:56  ,重庆
燮燮有你,不愧是我粉了五年的李昌燮，一开口就把我代入歌曲之中，那种爱情的悲切感太强了哥，难怪molen榜能抗洪成功,4月30日 17:38  ,山东
전수,这为什么听着耳朵像是哭了一样，把心底多年藏着的感情都勾出来了一样,4月27日 20:07  ,吉林
车银优,还有小狐狸最可爱了！！！,4月24日 17:26  ,四川
车银优,啊啊啊啊啊？这个漫画剧情有歌？卧槽,4月24日 17:25  ,四川
荏苒🍁,好牛啊这个排名,4月23日 22:46  ,韩国
Melody,哥你solo2呢 🥹,4月19日 12:44  ,福建
墨初,昌索比唱的好,4月18日 15:38  ,重庆
🍬,好听好听,4月16日 21:08  ,陕西
MUA,网漫ost排名这么高！,4月15日 22:27  ,江苏
杜地球🌍,纯正的韩剧味 爱了,4月15日 01:44  ,广东
3104条鱼,昌索比,4月12日 18:33  ,黑龙江
Mobius,不愧是韩红,4月10日 00:14  ,广东
冯宝宝,昌索比,4月9日 11:38  ,辽宁
冯宝宝,妈呀，这是我大学追的人啊,4月9日 11:37  ,辽宁
讽刺隐喻,漫画真的超级好看 听着这首歌重温了一下两人回忆部分更觉得歌词贴切 好遗憾狐狸是男二 他超爱 就是因为太爱所以才会成为男二 因为只会期盼对方能够获得幸福,4月8日 17:26  ,广东
今天養樂多了没nnn,昌！索！比！,4月6日 17:16  ,北京
: ),昌索比的声音还是那么好听！,4月6日 00:53  ,北京
海豹卷饼,李桃请大声唱吧！,4月5日 22:10  ,北京
桃桃桃桃桃桃,卧槽，,4月4日 22:48  ,江苏
NDMALUY,好好好 祝比兔比每一位都成为拥有好作品的本质歌手/演员！,4月2日 16:05  ,福建
🍍,桃子好厉害！,3月31日 08:58  ,陕西
